latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
35.67500,139.37500,Yokohama,3,0.50800,156785.00000,0.75260,173183.00000,0.76790,192586.00000,0.80180,216245.00000,-4.83000,0.21500,-4.77800,0.28500,-4.94000,0.61000,-4.74300,0.45000,-4.66300,0.18300,-4.31400,0.22400,-4.57200,0.27000,-4.77400,0.36300,-6.04900,0.36300,-5.96400,0.37900,-6.00600,0.37100,-5.88600,0.24700,-5.62300,0.45300,-5.73000,0.33300,-5.58900,0.32500,-5.44800,0.37800,-5.53400,0.38400,-5.49300,0.36100,-5.56100,0.28200,-4.04300,0.49900,-4.15600,0.39500,-4.24700,0.25200,-4.21800,0.30800,-4.01600,0.41400,-4.12300,0.34100,-4.03500,0.34200,-3.95400,0.32400,-3.73600,0.43700,-3.74100,0.46800,-3.77100,0.35800,-3.71200,0.42200,-3.51100,0.32400,-3.38000,0.53500,0,-9999,-9999,-9999,25112036,12.27000,3.96000
35.67500,139.42500,Yokohama,3,0.54450,154201.00000,0.77700,183203.00000,0.78260,205280.00000,0.80830,235478.00000,-4.58900,0.20800,-4.52200,0.28200,-4.68600,0.63800,-4.48100,0.46100,-4.39900,0.19300,-4.05900,0.22500,-4.30700,0.26700,-4.52000,0.38200,-5.37200,0.32400,-5.27200,0.41000,-5.31800,0.37400,-5.19000,0.26800,-4.93000,0.45400,-5.03600,0.33100,-4.90200,0.30000,-4.75000,0.34900,-4.81400,0.35600,-4.77500,0.35900,-4.85700,0.30400,-3.81400,0.55200,-3.89500,0.38500,-3.99600,0.28100,-3.98300,0.29300,-3.79100,0.46900,-3.85200,0.36300,-3.78800,0.35300,-3.67700,0.34500,-3.42900,0.43800,-3.45700,0.46100,-3.53700,0.34700,-3.41600,0.41600,-3.22300,0.30400,-3.16600,0.52800,0,-9999,-9999,-9999,25112036,12.64000,3.99000
35.67500,139.47500,Yokohama,3,0.73550,189089.00000,0.86680,215049.00000,0.86860,240687.00000,0.88590,274278.00000,-4.17500,0.19800,-4.08600,0.26400,-4.27200,0.72900,-4.05100,0.46500,-3.93900,0.21100,-3.63600,0.21800,-3.83800,0.25700,-4.06300,0.41900,-4.76700,0.29300,-4.62700,0.43000,-4.68200,0.35200,-4.54700,0.29100,-4.29000,0.43500,-4.39900,0.31100,-4.26800,0.29200,-4.10100,0.37200,-4.16700,0.33300,-4.12100,0.35700,-4.19500,0.31000,-3.56600,0.55700,-3.67200,0.42200,-3.76800,0.28800,-3.76500,0.31900,-3.56100,0.49200,-3.56600,0.38700,-3.50500,0.38000,-3.40900,0.39100,-3.19000,0.46400,-3.14100,0.43100,-3.33700,0.36500,-3.15200,0.45900,-2.96200,0.29400,-2.92400,0.50900,0,-9999,-9999,-9999,25112036,11.28000,3.84000
35.67500,139.52500,Yokohama,3,0.54360,157234.00000,0.79640,219807.00000,0.80500,248149.00000,0.81910,284212.00000,-3.88600,0.18900,-3.77700,0.25000,-3.98100,0.77800,-3.74000,0.48100,-3.61200,0.22000,-3.33800,0.21000,-3.50800,0.25100,-3.73800,0.43300,-4.21700,0.26900,-4.03100,0.43100,-4.08500,0.32900,-3.96000,0.29500,-3.70400,0.41600,-3.82000,0.29100,-3.69300,0.28200,-3.51100,0.37200,-3.59000,0.31000,-3.51500,0.34500,-3.57300,0.29100,-3.11800,0.53600,-3.20600,0.44500,-3.38000,0.29400,-3.31600,0.33100,-3.15100,0.43700,-3.06100,0.35200,-3.00800,0.37900,-2.97100,0.43800,-2.76600,0.43900,-2.68200,0.38000,-2.80400,0.40400,-2.70100,0.45400,-2.49000,0.29100,-2.42500,0.45300,0,-9999,-9999,-9999,25112036,13.02000,4.09000
35.67500,139.57500,Yokohama,3,0.75430,228748.00000,0.93200,289211.00000,0.93320,324676.00000,0.93870,369030.00000,-3.74000,0.19100,-3.62600,0.24600,-3.86400,0.84400,-3.58500,0.47200,-3.45400,0.21400,-3.20200,0.21000,-3.34600,0.25200,-3.57900,0.46300,-3.80300,0.24600,-3.58500,0.41400,-3.62100,0.30800,-3.51000,0.27900,-3.27400,0.38400,-3.39000,0.26000,-3.25300,0.26900,-3.07700,0.34700,-3.15500,0.26900,-3.05900,0.31500,-3.09100,0.25800,-2.51800,0.45200,-2.54200,0.36600,-2.69300,0.24700,-2.64400,0.26800,-2.54300,0.34400,-2.42000,0.31100,-2.39500,0.32300,-2.33800,0.37000,-2.19000,0.36000,-2.12600,0.31400,-2.17600,0.35700,-2.10900,0.37400,-1.95200,0.28100,-1.84900,0.33000,0,-9999,-9999,-9999,25112036,11.74000,3.70000
35.67500,139.62500,Yokohama,3,0.91530,290104.00000,0.97200,366663.00000,0.97220,411955.00000,0.97720,471407.00000,-3.58500,0.19300,-3.46500,0.24300,-3.74000,0.91400,-3.42100,0.46300,-3.28500,0.20700,-3.05700,0.21000,-3.17400,0.25300,-3.41000,0.49400,-3.51000,0.22800,-3.27600,0.38800,-3.29100,0.28700,-3.19300,0.24900,-2.98100,0.34800,-3.09100,0.22800,-2.94700,0.25900,-2.78800,0.32900,-2.85300,0.22800,-2.73900,0.29200,-2.75200,0.22100,-1.83900,0.33300,-1.81700,0.27700,-1.90000,0.19500,-1.88700,0.21900,-1.80000,0.25600,-1.75000,0.25600,-1.71400,0.22400,-1.64000,0.24600,-1.55300,0.28300,-1.49500,0.23800,-1.57800,0.23600,-1.48000,0.28800,-1.38600,0.25400,-1.33900,0.23800,0,-9999,-9999,-9999,25112036,10.22000,3.31000
35.67500,139.67500,Yokohama,3,0.93650,303005.00000,0.95100,374132.00000,0.95120,420358.00000,0.95740,481658.00000,-3.58500,0.19600,-3.45500,0.24000,-3.77000,0.94700,-3.42700,0.45400,-3.27900,0.20200,-3.06000,0.21400,-3.15800,0.25600,-3.40100,0.50600,-3.34600,0.21300,-3.10000,0.36300,-3.11200,0.27400,-3.02200,0.22700,-2.82400,0.32600,-2.92300,0.20400,-2.77600,0.24500,-2.63600,0.31500,-2.69700,0.20400,-2.55900,0.27600,-2.55600,0.19600,-1.31500,0.23800,-1.27200,0.21800,-1.32600,0.19100,-1.32100,0.20200,-1.20900,0.18700,-1.21400,0.17700,-1.16900,0.15200,-1.10900,0.14800,-1.05100,0.22300,-0.98600,0.18100,-1.06500,0.15800,-1.02000,0.23100,-0.89700,0.24000,-0.92600,0.20300,0,-9999,-9999,-9999,25112036,8.91000,2.92000
35.67500,139.72500,Yokohama,3,0.85970,206135.00000,0.89350,262692.00000,0.89460,295158.00000,0.90240,338549.00000,-3.59500,0.18800,-3.45000,0.22600,-3.75900,0.93500,-3.43100,0.46600,-3.27500,0.19000,-3.07500,0.21600,-3.13500,0.26600,-3.39200,0.50100,-3.31100,0.21300,-3.06900,0.34400,-3.07000,0.26900,-2.98800,0.21200,-2.79900,0.32700,-2.88900,0.19400,-2.74100,0.23800,-2.61800,0.31200,-2.67700,0.20000,-2.50400,0.27100,-2.49300,0.17700,-1.23900,0.23000,-1.19700,0.20000,-1.26100,0.18400,-1.24500,0.19400,-1.14100,0.18000,-1.14000,0.16700,-1.09900,0.15000,-1.04000,0.14600,-0.98900,0.21900,-0.92400,0.17800,-0.99700,0.14900,-0.94500,0.22700,-0.82400,0.20700,-0.85800,0.20400,0,-9999,-9999,-9999,25112036,9.86000,3.16000
35.67500,139.77500,Yokohama,3,0.80570,182883.00000,0.83160,229976.00000,0.83770,258409.00000,0.85600,297446.00000,-3.66100,0.17800,-3.51400,0.21800,-3.78200,0.88300,-3.47300,0.50000,-3.33600,0.18400,-3.14000,0.21400,-3.19100,0.27200,-3.44900,0.47700,-3.39100,0.21800,-3.17100,0.33900,-3.15700,0.27100,-3.08800,0.21100,-2.89000,0.33700,-2.98600,0.20000,-2.83400,0.24000,-2.71900,0.32200,-2.77100,0.20700,-2.56500,0.28700,-2.54500,0.16800,-1.24200,0.23000,-1.19900,0.19300,-1.26400,0.18300,-1.24300,0.18800,-1.14600,0.17000,-1.14600,0.16400,-1.10200,0.14700,-1.04700,0.14300,-0.99900,0.21700,-0.92500,0.17600,-1.00300,0.14800,-0.95400,0.22900,-0.83200,0.20400,-0.86500,0.21300,0,-9999,-9999,-9999,25112036,7.03000,2.73000
35.67500,139.82500,Yokohama,3,0.81430,232549.00000,0.83110,288306.00000,0.83460,321559.00000,0.85860,368042.00000,-3.81800,0.18200,-3.65900,0.22100,-4.01500,0.92300,-3.60500,0.51900,-3.48800,0.17300,-3.29600,0.22800,-3.33600,0.28200,-3.58800,0.47800,-3.60800,0.22100,-3.39500,0.34800,-3.38100,0.27200,-3.32300,0.22100,-3.10200,0.36400,-3.22200,0.22100,-3.05600,0.24500,-2.94600,0.32900,-2.99100,0.22800,-2.74400,0.31700,-2.72300,0.15900,-1.48100,0.27100,-1.46200,0.21700,-1.51400,0.20800,-1.49900,0.22100,-1.40500,0.19100,-1.40800,0.19100,-1.35100,0.17500,-1.30700,0.17700,-1.24300,0.23900,-1.19300,0.18900,-1.27300,0.18000,-1.24700,0.28100,-1.09800,0.25600,-1.11200,0.25300,0,-9999,-9999,-9999,25112036,7.02000,2.91000
