latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
35.12500,117.32500,Zaozhuang,2,0.00040,56466.00000,0.03160,43208.00000,0.04580,42154.00000,0.05710,42892.00000,-8.56600,0.43300,-8.74200,0.46800,-8.41900,0.58300,-8.50900,0.58700,-8.84000,0.52700,-8.40300,0.52700,-8.71600,0.20900,-8.80300,0.41900,-10.35600,0.52700,-10.41200,0.50400,-10.20100,0.67100,-10.46200,0.37400,-10.00600,0.50500,-9.89100,0.42200,-9.87500,0.31600,-9.91400,0.56200,-9.81400,0.55900,-9.74900,0.60300,-9.83500,0.42600,-8.20000,0.38200,-8.10600,0.41100,-8.16500,0.47100,-8.28500,0.40800,-8.10400,0.42700,-8.34400,0.37600,-8.25400,0.44000,-8.41200,0.30700,-8.65700,0.34200,-8.08900,0.50900,-7.85900,0.40800,-8.11800,0.61900,-8.10700,0.59300,-7.62000,0.65600,0,0.03820,5.42390,3.36150,25280860,5.21000,2.62000
35.12500,117.37500,Zaozhuang,1,0.00010,0.00000,0.00910,4243.00000,0.02090,10181.00000,0.03260,15177.00000,-8.54000,0.40900,-8.68800,0.44500,-8.37100,0.56000,-8.49000,0.54700,-8.77300,0.50600,-8.36600,0.48300,-8.67900,0.22400,-8.76400,0.42400,-10.44000,0.47400,-10.44600,0.45900,-10.27500,0.63200,-10.56700,0.34700,-10.13200,0.45500,-10.03500,0.39200,-10.05700,0.33100,-10.10000,0.50200,-10.01200,0.47700,-9.95000,0.56000,-10.03300,0.38400,-8.22900,0.33600,-8.13200,0.38800,-8.21800,0.44300,-8.30000,0.37600,-8.13500,0.39700,-8.38500,0.33900,-8.27900,0.42200,-8.41200,0.28800,-8.66400,0.32400,-8.14700,0.49200,-7.96100,0.36900,-8.13700,0.55500,-8.17400,0.56100,-7.70300,0.59700,0,0.01670,5.17430,1.32860,25280860,5.36000,2.66000
35.12500,117.42500,Zaozhuang,1,0.00000,0.00000,0.00620,5178.00000,0.01270,7780.00000,0.05370,19642.00000,-8.53300,0.40200,-8.66600,0.43800,-8.37000,0.54700,-8.49700,0.53400,-8.75600,0.49400,-8.36700,0.46100,-8.67800,0.23100,-8.76000,0.42800,-10.53100,0.42000,-10.47400,0.40900,-10.35700,0.57800,-10.64100,0.32100,-10.26100,0.40500,-10.17300,0.35500,-10.20800,0.34700,-10.25900,0.43200,-10.20200,0.38700,-10.12100,0.50800,-10.20000,0.34800,-8.26300,0.30500,-8.19000,0.38100,-8.24900,0.42100,-8.31000,0.35300,-8.17700,0.36900,-8.42100,0.31200,-8.32100,0.38800,-8.41400,0.27500,-8.61600,0.29600,-8.19100,0.45200,-8.06300,0.32400,-8.18800,0.49900,-8.22800,0.52300,-7.82800,0.53300,0,0.01590,4.33900,1.32570,25280860,6.12000,2.94000
35.12500,117.47500,Zaozhuang,1,0.00000,11875.00000,0.00460,14936.00000,0.00970,14920.00000,0.03390,16955.00000,-8.51600,0.38700,-8.62300,0.41800,-8.36800,0.51400,-8.51900,0.50400,-8.71500,0.46900,-8.37200,0.41600,-8.67300,0.24500,-8.74000,0.43000,-10.59500,0.39000,-10.48200,0.37000,-10.42000,0.51900,-10.69100,0.30200,-10.35200,0.37200,-10.28700,0.32600,-10.31000,0.33800,-10.37400,0.36600,-10.32500,0.32600,-10.22300,0.47600,-10.29900,0.32500,-8.29400,0.30000,-8.23400,0.38200,-8.27400,0.41600,-8.31700,0.34200,-8.20000,0.35600,-8.45500,0.30700,-8.34100,0.35200,-8.43500,0.27000,-8.59900,0.28200,-8.25900,0.42200,-8.15400,0.29300,-8.26500,0.46800,-8.29500,0.49500,-7.95600,0.48200,0,0.01860,5.65400,1.38080,25280860,8.07000,3.75000
35.12500,117.52500,Zaozhuang,0,0.00000,1933.00000,0.00130,713.00000,0.00210,373.00000,0.00360,334.00000,-8.50900,0.38500,-8.61200,0.41200,-8.38000,0.49600,-8.52400,0.50800,-8.70500,0.46500,-8.38200,0.40400,-8.67600,0.24300,-8.73300,0.42200,-10.65700,0.38200,-10.47600,0.34300,-10.46600,0.48000,-10.74100,0.29500,-10.42500,0.33600,-10.35600,0.31500,-10.37200,0.33000,-10.45300,0.32000,-10.40100,0.29100,-10.28800,0.44600,-10.34900,0.30400,-8.31800,0.30800,-8.25400,0.40400,-8.29900,0.41600,-8.34400,0.35600,-8.23400,0.35800,-8.47700,0.31600,-8.36700,0.35200,-8.47100,0.27200,-8.63600,0.30200,-8.33200,0.43400,-8.21600,0.30400,-8.34600,0.46600,-8.39200,0.50400,-8.02900,0.48800,0,0.00860,3.27000,0.53080,25280860,7.07000,3.47000
35.12500,117.57500,Zaozhuang,0,0.00000,340.00000,0.00000,0.00000,0.00000,0.00000,0.00000,41.00000,-8.48900,0.38200,-8.59200,0.39700,-8.40300,0.45800,-8.53200,0.52200,-8.67800,0.46100,-8.40500,0.38300,-8.67900,0.23700,-8.71000,0.40300,-10.68900,0.37000,-10.46900,0.32300,-10.49700,0.45700,-10.78300,0.29900,-10.46500,0.32400,-10.39600,0.32700,-10.38100,0.30400,-10.48400,0.31100,-10.42700,0.28200,-10.31100,0.42100,-10.36800,0.31000,-8.34000,0.31800,-8.26900,0.43900,-8.31600,0.41100,-8.37200,0.37100,-8.27800,0.36100,-8.48600,0.33000,-8.38800,0.36900,-8.52100,0.28900,-8.69800,0.34700,-8.40900,0.45400,-8.26600,0.32700,-8.40100,0.46500,-8.49000,0.53200,-8.08700,0.50800,0,0.00810,3.44880,0.41270,25280860,7.50000,3.63000
35.12500,117.62500,Zaozhuang,0,0.00000,1105.00000,0.00000,0.00000,0.00000,0.00000,0.00020,0.00000,-8.48200,0.38800,-8.58400,0.39300,-8.41600,0.44600,-8.52300,0.54300,-8.67100,0.46600,-8.41500,0.38300,-8.68200,0.23000,-8.70500,0.39400,-10.70000,0.36300,-10.46200,0.31300,-10.53200,0.44400,-10.79600,0.31600,-10.47100,0.33200,-10.41400,0.35600,-10.37000,0.28000,-10.47300,0.33400,-10.41900,0.29600,-10.31500,0.41600,-10.37700,0.32600,-8.35500,0.33300,-8.27900,0.47200,-8.32700,0.40300,-8.39700,0.38200,-8.33100,0.36700,-8.49000,0.34500,-8.39600,0.39800,-8.56500,0.31000,-8.75800,0.38800,-8.47100,0.46600,-8.29700,0.33200,-8.44800,0.48000,-8.55000,0.55600,-8.13000,0.53400,0,0.00870,3.47100,0.47900,25280860,6.50000,3.14000
35.12500,117.67500,Zaozhuang,0,0.00000,62770.00000,0.00010,966.00000,0.00050,323.00000,0.00120,330.00000,-8.46400,0.39900,-8.56800,0.38600,-8.44000,0.42400,-8.51500,0.57500,-8.65400,0.48200,-8.43500,0.38700,-8.68500,0.21600,-8.68900,0.37900,-10.69800,0.37600,-10.45600,0.31300,-10.54500,0.43500,-10.79800,0.34100,-10.45200,0.33800,-10.41800,0.38700,-10.36400,0.27200,-10.45000,0.36300,-10.38400,0.31400,-10.31000,0.42900,-10.38000,0.33400,-8.36300,0.35100,-8.28000,0.49000,-8.32600,0.39600,-8.42100,0.38700,-8.37200,0.37700,-8.49300,0.36400,-8.38600,0.41900,-8.58400,0.32700,-8.78300,0.40500,-8.50700,0.47000,-8.31300,0.33000,-8.48100,0.48800,-8.59700,0.58500,-8.14600,0.55400,0,0.01390,4.34100,0.82280,25280860,6.63000,3.16000
35.12500,117.72500,Zaozhuang,1,0.00000,0.00000,0.00130,74747.00000,0.00310,62369.00000,0.00790,43397.00000,-8.46100,0.40700,-8.55800,0.38500,-8.45500,0.41700,-8.52500,0.55700,-8.65000,0.49700,-8.44100,0.39700,-8.69000,0.21700,-8.68500,0.37800,-10.67900,0.39100,-10.43600,0.32800,-10.52800,0.43700,-10.77900,0.35800,-10.41100,0.33700,-10.40600,0.41800,-10.35100,0.27200,-10.42000,0.40100,-10.35000,0.34300,-10.31500,0.45300,-10.36600,0.33600,-8.36600,0.36600,-8.27800,0.49700,-8.31700,0.39500,-8.44400,0.38800,-8.40500,0.38400,-8.50300,0.38500,-8.37000,0.42600,-8.59100,0.33400,-8.78900,0.40500,-8.52500,0.47200,-8.31600,0.32800,-8.49900,0.49400,-8.62300,0.61100,-8.14300,0.57100,0,0.01760,4.96580,1.23590,25280860,6.41000,3.18000
35.12500,117.77500,Zaozhuang,1,0.00000,0.00000,0.00190,12170.00000,0.00670,19910.00000,0.01720,22716.00000,-8.45300,0.42400,-8.54100,0.38500,-8.48000,0.40700,-8.54400,0.53900,-8.64400,0.52900,-8.45800,0.41600,-8.70300,0.21600,-8.67400,0.38000,-10.62400,0.41200,-10.41300,0.36500,-10.48800,0.46100,-10.73600,0.36900,-10.35600,0.34000,-10.36600,0.42800,-10.32000,0.27000,-10.39600,0.42800,-10.31500,0.37200,-10.31800,0.47800,-10.33400,0.34500,-8.36900,0.37100,-8.27900,0.49000,-8.30600,0.39900,-8.45600,0.39000,-8.43800,0.38700,-8.51800,0.40000,-8.35700,0.41900,-8.58900,0.33500,-8.78100,0.39600,-8.52600,0.47300,-8.31000,0.33100,-8.50400,0.50200,-8.63300,0.62600,-8.13400,0.58700,0,0.00930,4.11780,0.48700,25280860,5.17000,2.76000
