latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
41.07500,114.67500,Zhangjiakou,0,0.00000,1106.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.23300,1.16700,-10.64200,1.11700,-10.33000,0.70600,-10.47400,1.27000,-11.31600,0.34400,-11.33600,0.79600,-11.27100,0.57500,-11.78200,0.30900,-12.81400,0.48100,-12.77400,0.65600,-13.08200,0.45100,-12.52700,0.59700,-12.52100,0.46600,-12.29400,0.62100,-12.57400,0.58800,-12.46400,0.68300,-12.72800,0.43400,-12.46500,0.60100,-13.12400,0.39700,-11.80000,0.75700,-10.83800,0.83400,-12.11400,0.65200,-10.68200,0.87000,-11.51100,0.77300,-11.31100,0.68100,-10.68500,0.91400,-11.28300,0.87900,-10.74100,0.83000,-10.96100,0.74200,-10.84600,0.83300,-10.33200,0.88100,-10.59900,0.85700,-10.06700,0.60900,0,0.00440,1.88980,0.16860,23332656,3.49000,1.39000
41.07500,114.72500,Zhangjiakou,0,0.00000,1109.00000,0.00000,0.00000,0.00050,2038.00000,0.00100,5509.00000,-11.21000,1.16700,-10.62000,1.11600,-10.30900,0.70400,-10.45700,1.28000,-11.29000,0.34100,-11.31100,0.79300,-11.25100,0.57100,-11.76200,0.30700,-12.74500,0.47100,-12.72500,0.67200,-13.00300,0.44600,-12.44900,0.61100,-12.43500,0.43300,-12.24100,0.60200,-12.47900,0.60400,-12.40100,0.67400,-12.62300,0.44900,-12.35700,0.60500,-13.02700,0.38500,-11.68000,0.75300,-10.74600,0.81400,-11.99500,0.61700,-10.59800,0.84900,-11.38600,0.76500,-11.20300,0.68600,-10.51700,0.87300,-11.19000,0.84900,-10.61900,0.79000,-10.81400,0.71000,-10.74200,0.81600,-10.20000,0.89700,-10.44500,0.85000,-9.92100,0.63100,0,0.00950,3.06750,0.45880,23332656,3.94000,1.74000
41.07500,114.77500,Zhangjiakou,0,0.00000,1109.00000,0.00000,0.00000,0.00010,1846.00000,0.00230,4713.00000,-10.95500,1.17200,-10.38900,1.10000,-10.05400,0.70200,-10.20500,1.24600,-10.99000,0.33000,-11.01300,0.77200,-11.00000,0.54800,-11.52600,0.29000,-12.68100,0.49200,-12.69300,0.69100,-12.91800,0.45000,-12.37400,0.61000,-12.36900,0.39100,-12.21600,0.58700,-12.43300,0.61000,-12.36700,0.66500,-12.54600,0.46400,-12.27400,0.60700,-12.97100,0.36900,-11.58600,0.76800,-10.67600,0.82800,-11.93700,0.61200,-10.57300,0.82100,-11.32300,0.77100,-11.14300,0.70700,-10.45400,0.86000,-11.15400,0.82400,-10.57800,0.78200,-10.76300,0.67500,-10.72100,0.79700,-10.16900,0.91800,-10.38100,0.85600,-9.86300,0.67700,0,0.00420,1.79810,0.11750,23332656,3.67000,1.61000
41.07500,114.82500,Zhangjiakou,0,0.00000,1065.00000,0.00000,82.00000,0.00000,0.00000,0.00060,903.00000,-10.89000,1.17300,-10.32900,1.09600,-9.98800,0.70100,-10.13900,1.23800,-10.91200,0.32800,-10.93600,0.76600,-10.93600,0.54200,-11.46500,0.28600,-12.64000,0.50700,-12.67500,0.69200,-12.86600,0.46000,-12.31100,0.61600,-12.32600,0.37300,-12.21600,0.57600,-12.40900,0.61000,-12.37200,0.65800,-12.51200,0.48500,-12.23800,0.60500,-12.94100,0.37000,-11.50100,0.79900,-10.58700,0.83700,-11.89600,0.61200,-10.54400,0.80000,-11.26800,0.79400,-11.09900,0.71700,-10.40300,0.87000,-11.13200,0.80300,-10.55100,0.79400,-10.73900,0.68600,-10.73000,0.79800,-10.17400,0.93600,-10.37400,0.86700,-9.84100,0.69200,0,0.00480,1.81800,0.13310,23332656,3.64000,1.67000
41.07500,114.87500,Zhangjiakou,0,0.00000,829.00000,0.00000,526.00000,0.00000,0.00000,0.00000,0.00000,-10.65100,1.14000,-10.14700,1.08200,-9.77000,0.69500,-9.86100,1.06200,-10.68300,0.33400,-10.68200,0.77200,-10.72900,0.55000,-11.25600,0.29600,-12.60800,0.50400,-12.64400,0.68400,-12.80700,0.48200,-12.25800,0.64500,-12.29300,0.37000,-12.22600,0.57400,-12.39300,0.59200,-12.40100,0.66000,-12.50600,0.49400,-12.22100,0.60200,-12.94400,0.35600,-11.39600,0.81900,-10.46100,0.85200,-11.84500,0.63000,-10.50000,0.79100,-11.22000,0.79100,-11.01400,0.72700,-10.34400,0.88100,-11.09500,0.78600,-10.50800,0.79800,-10.70700,0.69900,-10.72800,0.79400,-10.16700,0.94600,-10.36800,0.85500,-9.82100,0.68800,0,0.00520,2.23270,0.13120,23332656,3.71000,1.70000
41.07500,114.92500,Zhangjiakou,0,0.00000,637.00000,0.00000,798.00000,0.00000,0.00000,0.00000,0.00000,-10.56100,1.13100,-10.09100,1.07800,-9.69400,0.69700,-9.75500,0.97600,-10.60300,0.34200,-10.58500,0.78000,-10.65300,0.55300,-11.19300,0.30300,-12.55500,0.50200,-12.61900,0.67000,-12.75800,0.49000,-12.21600,0.65900,-12.26700,0.37300,-12.25300,0.56400,-12.37200,0.57100,-12.42700,0.65800,-12.50500,0.48600,-12.22400,0.58700,-12.96200,0.35100,-11.23100,0.85600,-10.22800,0.89200,-11.70200,0.67500,-10.38400,0.79200,-11.12800,0.77300,-10.85200,0.74500,-10.24100,0.87200,-10.98000,0.78100,-10.45400,0.81200,-10.65300,0.70800,-10.69400,0.78200,-10.12200,0.96400,-10.33300,0.84700,-9.78400,0.67500,0,0.00170,0.93500,0.02150,23332656,2.98000,1.43000
41.07500,114.97500,Zhangjiakou,0,0.00000,230.00000,0.00000,292.00000,0.00000,0.00000,0.00000,0.00000,-10.41900,1.06800,-10.00400,1.06600,-9.56700,0.68300,-9.62400,0.90100,-10.48800,0.35600,-10.42200,0.80900,-10.54200,0.56500,-11.06600,0.33800,-12.48700,0.51500,-12.59100,0.65300,-12.71500,0.50300,-12.17100,0.66200,-12.23600,0.37300,-12.28100,0.56000,-12.33600,0.53600,-12.44400,0.65000,-12.51400,0.47900,-12.22500,0.56000,-12.97600,0.35300,-10.97000,0.86500,-9.99400,0.93300,-11.41300,0.71300,-10.21800,0.81500,-10.93800,0.68200,-10.62100,0.76000,-10.06500,0.85600,-10.71700,0.77900,-10.31600,0.83900,-10.52100,0.71600,-10.58000,0.76100,-10.01800,0.95700,-10.23000,0.84200,-9.67900,0.67000,0,0.00000,0.01940,0.00040,23332656,5.04000,2.43000
41.07500,115.02500,Zhangjiakou,0,0.00000,371.00000,0.00000,471.00000,0.00000,0.00000,0.00020,1656.00000,-10.30400,1.01500,-9.93600,1.05600,-9.46500,0.67200,-9.52100,0.84200,-10.39800,0.36900,-10.28900,0.83300,-10.45300,0.57400,-10.96600,0.36500,-12.43900,0.51800,-12.55900,0.62900,-12.67600,0.51200,-12.12600,0.66700,-12.20300,0.37500,-12.29800,0.55300,-12.30100,0.50000,-12.44900,0.63400,-12.51800,0.47600,-12.21800,0.52100,-12.97600,0.36200,-10.75300,0.83200,-9.85000,0.94500,-11.17300,0.72800,-10.09300,0.82600,-10.73900,0.63500,-10.42800,0.75800,-9.89900,0.83900,-10.47000,0.77100,-10.11800,0.83100,-10.37100,0.70000,-10.45500,0.73500,-9.91700,0.92800,-10.11400,0.83200,-9.56500,0.64700,0,0.00080,0.36050,0.01850,23332656,5.92000,2.91000
41.07500,115.07500,Zhangjiakou,0,0.00000,440.00000,0.00000,558.00000,0.00000,5471.00000,0.00010,1499.00000,-10.23200,0.97900,-9.90600,1.04700,-9.39800,0.66200,-9.49900,0.81500,-10.35100,0.38900,-10.20800,0.85500,-10.39900,0.58800,-10.89000,0.40100,-12.39400,0.51000,-12.51500,0.60700,-12.62500,0.51100,-12.08200,0.65900,-12.15100,0.37500,-12.29600,0.54200,-12.25400,0.47300,-12.42400,0.60000,-12.49900,0.47000,-12.19400,0.47800,-12.94100,0.37300,-10.63700,0.79600,-9.78200,0.91600,-11.04900,0.72000,-10.02700,0.81900,-10.58400,0.64900,-10.30200,0.73400,-9.80400,0.81100,-10.31700,0.75400,-9.95500,0.79600,-10.25800,0.67500,-10.37500,0.70100,-9.83700,0.88200,-10.00000,0.81300,-9.47400,0.60900,0,0.00100,0.39900,0.02810,23332656,10.05000,4.44000
41.07500,115.12500,Zhangjiakou,0,0.00000,447.00000,0.00000,567.00000,0.00000,49.00000,0.00010,0.00000,-10.12100,0.92700,-9.84800,1.03200,-9.29300,0.64700,-9.45700,0.77900,-10.27400,0.41400,-10.08600,0.88200,-10.31300,0.60900,-10.77100,0.45100,-12.35100,0.51300,-12.47500,0.60600,-12.57200,0.50200,-12.06000,0.63300,-12.09600,0.37200,-12.28100,0.52900,-12.19900,0.45300,-12.37200,0.57200,-12.46700,0.46200,-12.16400,0.45400,-12.89400,0.39100,-10.55100,0.78500,-9.75100,0.88000,-10.98400,0.71900,-10.00100,0.80400,-10.49800,0.66800,-10.23400,0.71500,-9.77100,0.78200,-10.23600,0.72600,-9.86000,0.75900,-10.18100,0.67000,-10.30700,0.66200,-9.76800,0.84200,-9.90500,0.78500,-9.38800,0.56700,0,0.00000,0.00000,0.00000,23332656,11.11000,5.00000
