latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
24.77500,117.42500,Zhangzhou,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.36900,0.23700,-8.26800,0.23200,-8.38000,0.22600,-8.55600,0.25300,-8.03800,0.18300,-8.57700,1.41000,-8.07600,0.21500,-8.08800,0.35600,-9.66200,0.19200,-9.86900,0.35300,-9.74500,0.30100,-9.62400,0.20000,-9.57900,0.25100,-9.51800,0.29700,-9.59300,0.29000,-9.48200,0.28200,-9.41100,0.24100,-9.41600,0.28600,-9.25100,0.21800,-7.77600,0.29900,-7.73900,0.23200,-7.67600,0.23100,-7.59800,0.24600,-7.69400,0.33600,-7.55800,0.25800,-7.54200,0.19800,-7.65200,0.25100,-7.39200,0.28900,-7.37100,0.34000,-7.51100,0.24600,-7.52700,0.43000,-7.43100,0.31700,-7.53200,0.24200,0,0.00000,0.00000,0.00000,28006182,59.91000,7.90000
24.77500,117.47500,Zhangzhou,0,0.00000,31.00000,0.00000,30.00000,0.00000,31.00000,0.00000,4.00000,-8.38800,0.24500,-8.27500,0.24200,-8.40800,0.24300,-8.56000,0.25700,-8.05800,0.17900,-8.55800,1.35200,-8.05900,0.20600,-8.11000,0.35900,-9.69800,0.19700,-9.90900,0.35700,-9.78300,0.30800,-9.64100,0.18900,-9.60700,0.26000,-9.53100,0.29800,-9.61300,0.27700,-9.49700,0.26200,-9.37800,0.26300,-9.39600,0.26000,-9.28200,0.20700,-7.84100,0.30200,-7.78600,0.23800,-7.76300,0.23400,-7.67300,0.26400,-7.80900,0.31800,-7.66000,0.25700,-7.61800,0.18700,-7.73600,0.24100,-7.52200,0.28200,-7.48400,0.33700,-7.59600,0.25200,-7.58700,0.47000,-7.51200,0.34200,-7.57100,0.24500,0,0.00500,0.97300,0.82980,28006182,47.09000,8.09000
24.77500,117.52500,Zhangzhou,0,0.00010,653.00000,0.00040,2100.00000,0.00060,2531.00000,0.00060,1556.00000,-8.41800,0.25300,-8.29400,0.26300,-8.44700,0.27300,-8.57900,0.26400,-8.08800,0.17400,-8.53300,1.24000,-8.04700,0.19800,-8.14700,0.36700,-9.75000,0.17000,-9.91200,0.35200,-9.79100,0.30000,-9.64000,0.16700,-9.63200,0.26700,-9.53600,0.28600,-9.64600,0.26000,-9.51200,0.24000,-9.36200,0.27200,-9.35900,0.24900,-9.32200,0.19800,-7.87400,0.31900,-7.81000,0.24900,-7.80200,0.23700,-7.71900,0.27000,-7.84300,0.31700,-7.71100,0.24300,-7.61700,0.19400,-7.76100,0.21500,-7.54800,0.30300,-7.51200,0.35600,-7.62500,0.25500,-7.56300,0.52700,-7.53000,0.34800,-7.57000,0.24000,0,0.00450,1.05850,0.74200,28006182,40.34000,8.65000
24.77500,117.57500,Zhangzhou,1,0.00010,1827.00000,0.00030,3242.00000,0.00030,3710.00000,0.00290,9925.00000,-8.43300,0.25900,-8.30700,0.27400,-8.46600,0.28800,-8.58600,0.26700,-8.10400,0.17300,-8.50700,1.12100,-8.05200,0.19500,-8.17500,0.37100,-9.82100,0.16300,-9.93900,0.33900,-9.80800,0.28600,-9.65600,0.16300,-9.68800,0.25000,-9.58300,0.27300,-9.72600,0.23900,-9.56200,0.23900,-9.40000,0.25600,-9.34600,0.25400,-9.39000,0.18200,-7.91500,0.33200,-7.83500,0.27700,-7.83400,0.23400,-7.74400,0.26000,-7.85700,0.32200,-7.74800,0.22100,-7.63300,0.20900,-7.76300,0.21600,-7.57700,0.30500,-7.52300,0.36200,-7.64400,0.23600,-7.55000,0.55200,-7.54600,0.33300,-7.56800,0.22300,0,0.00600,1.63570,0.74020,28006182,40.04000,8.52000
24.77500,117.62500,Zhangzhou,1,0.00620,11206.00000,0.00750,12865.00000,0.00790,14302.00000,0.00970,14543.00000,-8.46000,0.27300,-8.34100,0.29400,-8.50500,0.31300,-8.62000,0.28100,-8.13300,0.17000,-8.29700,0.44000,-8.07300,0.20100,-8.22600,0.38200,-9.88700,0.17200,-9.96800,0.32300,-9.83400,0.26500,-9.70100,0.17900,-9.77200,0.22600,-9.65600,0.25000,-9.81400,0.21500,-9.62600,0.26400,-9.48700,0.23900,-9.37900,0.26200,-9.50000,0.16800,-7.96500,0.34600,-7.84600,0.28500,-7.86900,0.22800,-7.77000,0.25300,-7.85800,0.32200,-7.77800,0.20700,-7.67500,0.21500,-7.76900,0.22500,-7.61000,0.27700,-7.54100,0.38600,-7.67200,0.20800,-7.57300,0.50600,-7.58000,0.31100,-7.57100,0.21200,0,0.00670,2.05420,1.05090,28006182,46.79000,8.61000
24.77500,117.67500,Zhangzhou,0,0.00100,3992.00000,0.00310,6680.00000,0.00340,7440.00000,0.00340,7046.00000,-8.47300,0.28300,-8.36300,0.29600,-8.52400,0.32000,-8.63500,0.28500,-8.14600,0.17100,-8.28200,0.35200,-8.09900,0.20500,-8.26100,0.38600,-9.94300,0.16200,-10.01000,0.30400,-9.86900,0.25700,-9.76400,0.19300,-9.85400,0.22000,-9.72500,0.22900,-9.91000,0.21100,-9.71000,0.29400,-9.60200,0.23000,-9.45400,0.26800,-9.61600,0.17300,-7.99400,0.35200,-7.83600,0.28000,-7.89600,0.21400,-7.78900,0.24300,-7.84800,0.32400,-7.78000,0.21900,-7.68700,0.21700,-7.75900,0.23200,-7.60800,0.27900,-7.50600,0.41300,-7.67400,0.21300,-7.54100,0.45900,-7.57700,0.28700,-7.55000,0.21000,0,0.00330,1.42920,0.35590,28006182,46.12000,8.36000
24.77500,117.72500,Zhangzhou,0,0.00550,165.00000,0.01030,316.00000,0.01030,317.00000,0.01040,290.00000,-8.50500,0.30700,-8.41600,0.28500,-8.57300,0.32300,-8.68700,0.29300,-8.17000,0.17300,-8.33200,0.37700,-8.14900,0.21400,-8.32200,0.39500,-9.98400,0.13300,-10.08600,0.29200,-9.95400,0.25300,-9.86700,0.19000,-9.95800,0.21700,-9.81300,0.22900,-10.02200,0.23400,-9.81100,0.33700,-9.75100,0.23800,-9.60400,0.27800,-9.75400,0.17900,-8.00900,0.36200,-7.83600,0.28400,-7.91800,0.20500,-7.80500,0.23700,-7.84600,0.32400,-7.77100,0.24700,-7.69000,0.22700,-7.73900,0.23400,-7.59900,0.28700,-7.48400,0.38700,-7.69200,0.21800,-7.49600,0.48900,-7.57400,0.28200,-7.52800,0.20800,0,0.00260,1.27480,0.18640,28006182,46.81000,8.99000
24.77500,117.77500,Zhangzhou,1,0.01700,9708.00000,0.02550,12255.00000,0.02580,12463.00000,0.02860,12114.00000,-8.53300,0.31500,-8.44900,0.27700,-8.60100,0.31900,-8.71900,0.29000,-8.18600,0.18300,-8.36800,0.37200,-8.17800,0.20800,-8.33900,0.40100,-9.99400,0.12600,-10.16300,0.29700,-10.04000,0.25100,-9.95800,0.20900,-10.03200,0.22100,-9.86400,0.24000,-10.09700,0.26400,-9.87700,0.36100,-9.83800,0.24800,-9.73200,0.29400,-9.84700,0.19200,-8.02900,0.37100,-7.85800,0.29300,-7.94000,0.19800,-7.82200,0.24200,-7.85600,0.32100,-7.76300,0.26300,-7.68300,0.24400,-7.72500,0.22100,-7.59500,0.29900,-7.44000,0.35400,-7.69500,0.22700,-7.45800,0.53000,-7.57500,0.28800,-7.52200,0.23800,0,0.03220,5.25290,3.60240,28006182,27.39000,7.33000
24.77500,117.82500,Zhangzhou,1,0.00880,1800.00000,0.01330,2172.00000,0.01430,2337.00000,0.01900,2707.00000,-8.59000,0.33200,-8.51700,0.26000,-8.65700,0.31200,-8.78300,0.28400,-8.21800,0.20100,-8.44000,0.36400,-8.23400,0.19500,-8.37300,0.41300,-9.98400,0.15600,-10.22800,0.30900,-10.11500,0.25600,-10.01000,0.21900,-10.08500,0.22200,-9.88500,0.25200,-10.12300,0.28600,-9.91900,0.36300,-9.88100,0.26900,-9.80600,0.31500,-9.88400,0.21100,-8.05900,0.38100,-7.88900,0.30400,-7.96000,0.19400,-7.84100,0.24600,-7.86600,0.32700,-7.76300,0.26400,-7.67200,0.25300,-7.71200,0.20800,-7.60400,0.30100,-7.40200,0.34300,-7.70300,0.24200,-7.45100,0.54100,-7.56900,0.30600,-7.53800,0.25300,0,0.01120,4.89870,1.32380,28006182,42.47000,8.67000
24.77500,117.87500,Zhangzhou,1,0.01000,3915.00000,0.03400,7201.00000,0.03630,7946.00000,0.04420,9987.00000,-8.65800,0.34300,-8.58400,0.25700,-8.72100,0.30900,-8.84100,0.28200,-8.26700,0.22200,-8.48600,0.36000,-8.29700,0.18700,-8.41800,0.42600,-9.98000,0.19600,-10.27500,0.30900,-10.17000,0.27400,-10.03900,0.23000,-10.12100,0.22500,-9.88000,0.27800,-10.12100,0.30700,-9.92900,0.35500,-9.86900,0.30000,-9.82200,0.33400,-9.86200,0.22100,-8.08500,0.37600,-7.91300,0.31500,-7.97100,0.20300,-7.84700,0.24900,-7.86700,0.33700,-7.75900,0.25000,-7.66100,0.26400,-7.70500,0.20100,-7.60300,0.30100,-7.38100,0.34000,-7.70300,0.26300,-7.46600,0.54700,-7.54400,0.33800,-7.53400,0.26600,0,0.01580,2.74990,2.85370,28006182,51.91000,8.83000
