latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
21.42500,110.12500,Zhanjiang,1,0.00010,0.00000,0.00650,6886.00000,0.01670,11958.00000,0.02510,13825.00000,-9.00400,0.14900,-8.79300,0.23000,-8.76500,0.20900,-9.14800,0.16100,-8.99200,0.24200,-9.35100,0.23300,-9.35900,0.26300,-9.02300,0.10500,-10.75100,0.29200,-10.72000,0.38900,-10.55400,0.46800,-10.32900,0.31900,-10.63600,0.31500,-10.62600,0.30800,-10.42900,0.29500,-10.32300,0.39600,-10.15900,0.29400,-10.25900,0.38500,-10.02300,0.41800,-8.55900,0.28800,-8.50800,0.42600,-8.41900,0.31200,-8.21200,0.29900,-8.42200,0.46100,-8.17700,0.39700,-7.98800,0.53500,-8.18600,0.36400,-8.31300,0.46900,-8.11600,0.40200,-7.87700,0.54700,-7.53100,0.65000,-7.79900,0.69200,-7.74200,0.41400,0,0.01590,3.31750,0.80560,28697424,13.12000,5.15000
21.42500,110.17500,Zhanjiang,1,0.00010,0.00000,0.00790,4584.00000,0.01700,8440.00000,0.02930,11824.00000,-8.85500,0.14600,-8.61000,0.26200,-8.61000,0.19800,-9.05800,0.16500,-8.80500,0.22800,-9.12400,0.22800,-9.13400,0.25600,-8.83300,0.15000,-10.62400,0.31500,-10.65600,0.40600,-10.43300,0.46700,-10.24700,0.34600,-10.47000,0.30700,-10.47700,0.30800,-10.29300,0.32100,-10.20000,0.39600,-10.01000,0.30700,-10.10900,0.37300,-9.84500,0.45200,-8.47900,0.30900,-8.40000,0.37800,-8.30300,0.30700,-8.13100,0.30000,-8.31300,0.47700,-8.05900,0.37600,-7.90400,0.50600,-8.11100,0.35900,-8.19300,0.43300,-7.96600,0.36800,-7.74600,0.54300,-7.39300,0.64000,-7.63400,0.67400,-7.58000,0.39800,0,0.01190,2.86640,0.65020,28697424,12.62000,5.19000
21.42500,110.22500,Zhanjiang,1,0.00030,0.00000,0.02540,2699.00000,0.04170,5668.00000,0.06210,10457.00000,-8.82200,0.14500,-8.57500,0.27400,-8.58600,0.19600,-9.06100,0.17700,-8.76800,0.21900,-9.07400,0.24200,-9.07800,0.25300,-8.79300,0.17000,-10.51200,0.31600,-10.58900,0.41900,-10.34800,0.44900,-10.17600,0.36100,-10.32100,0.31400,-10.34100,0.32400,-10.15400,0.33100,-10.07000,0.38500,-9.85900,0.32900,-9.91900,0.39500,-9.67500,0.45500,-8.36300,0.31500,-8.32200,0.37100,-8.23200,0.32500,-8.04600,0.35400,-8.24200,0.48000,-7.91800,0.40000,-7.80200,0.48700,-8.00100,0.35600,-8.03100,0.41700,-7.74300,0.38500,-7.54500,0.54200,-7.16800,0.64900,-7.38900,0.63600,-7.21100,0.43700,0,0.01870,3.95950,1.85420,28697424,12.06000,5.24000
21.42500,110.27500,Zhanjiang,2,0.00040,10350.00000,0.01770,15010.00000,0.03150,15136.00000,0.05510,21282.00000,-8.76900,0.14400,-8.52800,0.30200,-8.56300,0.19900,-9.09700,0.22400,-8.72000,0.19400,-8.99300,0.28800,-8.98100,0.24200,-8.72000,0.22000,-10.41700,0.33700,-10.53900,0.40400,-10.29400,0.44700,-10.15300,0.37100,-10.22200,0.33100,-10.22400,0.33800,-10.04300,0.31900,-9.96600,0.38700,-9.74100,0.34600,-9.74100,0.41200,-9.53400,0.45800,-8.36000,0.35300,-8.33300,0.38100,-8.27000,0.32900,-8.11300,0.37900,-8.30100,0.50500,-8.00600,0.39000,-7.89000,0.48600,-8.03600,0.33600,-8.03600,0.46500,-7.83200,0.39900,-7.62100,0.56200,-7.22900,0.67300,-7.42000,0.63100,-7.19900,0.49200,0,0.02350,4.58240,2.63350,28697424,13.07000,5.36000
21.42500,110.32500,Zhanjiang,1,0.00080,5499.00000,0.00670,3345.00000,0.01350,5645.00000,0.02040,8920.00000,-8.79900,0.14900,-8.56500,0.31500,-8.60800,0.21100,-9.18000,0.26100,-8.75200,0.19500,-9.00700,0.32300,-8.99500,0.23400,-8.74500,0.24000,-10.31100,0.39700,-10.46900,0.39100,-10.27000,0.46000,-10.10200,0.38500,-10.15800,0.34800,-10.14100,0.34900,-9.94800,0.31600,-9.88900,0.37500,-9.63900,0.36000,-9.59200,0.41400,-9.43100,0.43500,-8.40800,0.38100,-8.38200,0.37700,-8.35800,0.33200,-8.25400,0.38300,-8.46200,0.50000,-8.20900,0.34800,-8.09000,0.46500,-8.21300,0.30500,-8.25700,0.43200,-8.08100,0.40300,-7.86500,0.52500,-7.46500,0.67700,-7.68400,0.57000,-7.50500,0.47700,0,0.01410,3.69050,0.87180,28697424,15.41000,5.98000
21.42500,110.37500,Zhanjiang,1,0.00270,23278.00000,0.00960,8912.00000,0.01450,7904.00000,0.01990,12926.00000,-8.82900,0.15600,-8.60500,0.33000,-8.65500,0.22700,-9.27600,0.30700,-8.78600,0.19600,-9.01800,0.36600,-9.00600,0.22400,-8.76700,0.26500,-10.25900,0.45200,-10.40200,0.38600,-10.27700,0.46800,-10.05800,0.38700,-10.12800,0.35300,-10.10500,0.34600,-9.91300,0.32100,-9.83700,0.36800,-9.60100,0.36800,-9.51100,0.42800,-9.38700,0.41700,-8.40000,0.39800,-8.39200,0.35700,-8.40400,0.34400,-8.30800,0.37200,-8.53700,0.47500,-8.30700,0.31800,-8.18500,0.45800,-8.32200,0.29300,-8.42400,0.39600,-8.20300,0.38200,-8.00300,0.47600,-7.60900,0.67500,-7.86400,0.51300,-7.76700,0.44300,0,0.01150,2.78920,1.05820,28697424,14.47000,6.02000
21.42500,110.42500,Zhanjiang,1,0.00070,3817.00000,0.01100,6358.00000,0.02190,9687.00000,0.03280,12270.00000,-8.98700,0.16500,-8.73300,0.32900,-8.80300,0.24600,-9.49000,0.38900,-8.90900,0.20700,-9.12500,0.40400,-9.12800,0.22500,-8.88800,0.27800,-10.25300,0.49200,-10.37400,0.36900,-10.31100,0.47700,-10.04800,0.39500,-10.15400,0.36700,-10.12000,0.34100,-9.92300,0.33200,-9.84600,0.37200,-9.63200,0.38100,-9.52900,0.45000,-9.43300,0.42500,-8.33900,0.41400,-8.36400,0.34200,-8.40900,0.35700,-8.31600,0.38200,-8.54200,0.48200,-8.32000,0.31800,-8.21900,0.48100,-8.33700,0.31300,-8.47300,0.41400,-8.23000,0.39300,-8.03900,0.48300,-7.64200,0.69700,-7.87100,0.52700,-7.83200,0.49000,0,0.01620,3.26460,1.77640,28697424,13.85000,5.26000
21.42500,110.47500,Zhanjiang,1,0.00050,9609.00000,0.01180,4710.00000,0.02000,6338.00000,0.02770,7154.00000,-9.04800,0.17000,-8.78000,0.32800,-8.86200,0.25400,-9.57900,0.42200,-8.95700,0.21300,-9.16400,0.42200,-9.17400,0.22500,-8.93300,0.28400,-10.29000,0.50200,-10.43000,0.36000,-10.37800,0.48200,-10.08200,0.41400,-10.25200,0.40400,-10.21700,0.34100,-10.00100,0.36100,-9.92700,0.39300,-9.76800,0.39200,-9.65400,0.48600,-9.54700,0.45700,-8.31400,0.42100,-8.33900,0.37900,-8.39100,0.38000,-8.32500,0.42600,-8.52100,0.53900,-8.31700,0.32700,-8.26200,0.51300,-8.33700,0.33600,-8.51100,0.44300,-8.24100,0.41000,-8.04100,0.51800,-7.63500,0.74200,-7.87800,0.55000,-7.86500,0.53800,0,0.01520,3.54480,0.86860,28697424,14.20000,5.35000
21.42500,110.52500,Zhanjiang,2,0.00070,6074.00000,0.01990,14831.00000,0.02700,15254.00000,0.03740,22934.00000,-9.38800,0.17500,-9.00700,0.31300,-9.16800,0.27000,-9.97700,0.53200,-9.27300,0.22400,-9.42400,0.43300,-9.47800,0.26000,-9.21200,0.28500,-10.43900,0.47600,-10.59000,0.36400,-10.49900,0.51500,-10.17800,0.46600,-10.42200,0.44100,-10.40000,0.38200,-10.16600,0.39500,-10.09700,0.41800,-10.00500,0.43000,-9.87300,0.52700,-9.75000,0.51400,-8.38200,0.45300,-8.37900,0.43800,-8.42900,0.39800,-8.37800,0.50700,-8.53400,0.59000,-8.33200,0.34000,-8.28400,0.55600,-8.37500,0.36300,-8.51900,0.48500,-8.25400,0.44500,-8.04700,0.55200,-7.59400,0.77900,-7.87900,0.57500,-7.89500,0.59100,0,0.01930,4.46960,1.28350,28697424,12.79000,5.06000
21.42500,110.57500,Zhanjiang,2,0.00170,18407.00000,0.02670,21483.00000,0.03760,22727.00000,0.04540,27016.00000,-9.52700,0.17400,-9.08100,0.31000,-9.29000,0.26800,-10.12800,0.57100,-9.39500,0.23400,-9.52200,0.43400,-9.58200,0.27300,-9.32900,0.28000,-10.72200,0.44700,-10.86600,0.37700,-10.67700,0.56500,-10.34300,0.53500,-10.65700,0.53300,-10.67900,0.44300,-10.39100,0.44900,-10.34600,0.45700,-10.30900,0.52600,-10.15100,0.58100,-9.99100,0.56400,-8.48900,0.51800,-8.45600,0.47500,-8.48800,0.38500,-8.44100,0.59300,-8.55500,0.62700,-8.36400,0.36700,-8.28400,0.58700,-8.42000,0.38600,-8.49500,0.54300,-8.27000,0.49500,-8.06900,0.56100,-7.54100,0.79500,-7.85300,0.62600,-7.90400,0.63000,0,0.02250,4.41990,1.46860,28697424,12.62000,5.02000
