latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
35.02500,113.42500,Zhengzhou,1,0.00000,0.00000,0.00010,5720.00000,0.00170,2022.00000,0.01490,3640.00000,-8.84900,0.37900,-8.92800,0.55800,-9.05600,0.44400,-9.06600,0.38700,-9.71900,0.33300,-9.05400,0.60000,-9.32100,0.20700,-8.71500,0.36000,-10.77000,0.57300,-10.57100,0.45400,-10.57500,0.57800,-10.47400,0.57200,-9.97900,0.53600,-10.31000,0.59300,-10.15800,0.55900,-10.54300,0.73500,-10.51900,0.68200,-10.26100,0.65900,-10.25000,0.51300,-9.25600,0.50200,-9.08600,0.36400,-8.99300,0.45300,-8.92800,0.46600,-8.84200,0.44800,-8.90600,0.45300,-8.87700,0.62200,-8.69300,0.62800,-8.62000,0.57300,-8.34300,0.47600,-8.28100,0.36000,-8.09500,0.55100,-8.18200,0.51600,-7.98900,0.44800,0,0.02150,3.51220,2.16780,25311304,6.17000,2.75000
35.02500,113.47500,Zhengzhou,1,0.00000,0.00000,0.00160,21929.00000,0.00410,16495.00000,0.02180,18276.00000,-8.85100,0.37500,-8.94300,0.54200,-9.06100,0.43000,-9.11400,0.38300,-9.74700,0.32600,-9.09600,0.58000,-9.34700,0.20400,-8.75800,0.35700,-10.95800,0.47800,-10.78500,0.41900,-10.77700,0.48000,-10.69400,0.50800,-10.14100,0.48500,-10.46600,0.57900,-10.30100,0.49500,-10.65300,0.68000,-10.65000,0.63400,-10.34700,0.61600,-10.31000,0.49200,-9.30300,0.50700,-9.10000,0.37100,-9.02500,0.40700,-8.94600,0.45200,-8.86200,0.40200,-8.88200,0.49500,-8.81200,0.64100,-8.61000,0.58200,-8.53300,0.64500,-8.18700,0.50400,-8.16500,0.33800,-7.94700,0.53400,-8.02800,0.53200,-7.85200,0.45900,0,0.01990,4.26950,1.29560,25311304,5.64000,2.43000
35.02500,113.52500,Zhengzhou,1,0.00000,72.00000,0.00130,5670.00000,0.00320,5147.00000,0.01180,7095.00000,-8.85400,0.37100,-8.96200,0.52600,-9.07100,0.41600,-9.16900,0.37800,-9.78400,0.31900,-9.14800,0.55900,-9.38300,0.20200,-8.81000,0.35400,-11.17500,0.40300,-11.00200,0.38600,-10.99200,0.38000,-10.91200,0.43500,-10.30200,0.44200,-10.61400,0.57200,-10.43400,0.42200,-10.74600,0.62400,-10.76100,0.59900,-10.41600,0.56200,-10.35000,0.48100,-9.41100,0.52400,-9.13100,0.37600,-9.05500,0.40000,-9.02300,0.44900,-8.91300,0.36100,-8.97600,0.52400,-8.86700,0.63900,-8.66600,0.57400,-8.57700,0.62500,-8.17300,0.50000,-8.17300,0.33800,-7.94000,0.53800,-8.00100,0.52600,-7.80200,0.47200,0,0.02730,5.12200,2.18160,25311304,6.86000,2.81000
35.02500,113.57500,Zhengzhou,1,0.00580,27031.00000,0.02060,34674.00000,0.02470,37985.00000,0.03430,36646.00000,-8.86800,0.37300,-8.98800,0.49700,-9.07900,0.41400,-9.22900,0.37400,-9.81000,0.32300,-9.18600,0.55200,-9.42800,0.20200,-8.84800,0.34600,-11.42500,0.35200,-11.22500,0.37300,-11.22100,0.31700,-11.13000,0.36900,-10.46900,0.41300,-10.74400,0.55600,-10.56400,0.37000,-10.83700,0.59300,-10.88000,0.58000,-10.48200,0.50400,-10.39900,0.47200,-9.62800,0.55700,-9.21800,0.39900,-9.12300,0.41100,-9.09100,0.47700,-8.98700,0.35000,-9.13700,0.54700,-8.97000,0.64500,-8.74100,0.57800,-8.64800,0.59600,-8.18600,0.50100,-8.18700,0.34400,-7.92600,0.54700,-7.98100,0.52900,-7.73600,0.50300,0,0.03000,5.06650,2.41700,25311304,7.47000,2.81000
35.02500,113.62500,Zhengzhou,1,0.00020,2205.00000,0.00430,4928.00000,0.00580,6586.00000,0.01190,11055.00000,-8.88100,0.37500,-9.01600,0.46800,-9.08800,0.41300,-9.28900,0.36900,-9.83800,0.32600,-9.22600,0.54500,-9.47600,0.20300,-8.88800,0.33800,-11.64800,0.34100,-11.39900,0.38600,-11.43000,0.32500,-11.32600,0.34400,-10.60700,0.40900,-10.83800,0.53100,-10.66000,0.37300,-10.90900,0.59100,-10.97600,0.57000,-10.53200,0.44600,-10.43800,0.47000,-9.80800,0.60700,-9.34200,0.44100,-9.23800,0.42600,-9.13200,0.50300,-9.07300,0.37300,-9.25100,0.57300,-9.08100,0.65200,-8.82200,0.57200,-8.73100,0.58500,-8.21300,0.50600,-8.21400,0.36000,-7.91700,0.57100,-7.95800,0.54100,-7.67700,0.52800,0,0.01440,4.13780,0.87910,25311304,7.13000,3.01000
35.02500,113.67500,Zhengzhou,1,0.00020,7973.00000,0.00160,2685.00000,0.00360,9158.00000,0.01000,9835.00000,-8.90200,0.37900,-9.05200,0.43500,-9.10000,0.42400,-9.36200,0.36700,-9.84800,0.33700,-9.25200,0.55400,-9.52500,0.20300,-8.92100,0.31500,-11.83700,0.34600,-11.52200,0.39500,-11.59100,0.35700,-11.47300,0.35400,-10.71600,0.42600,-10.90100,0.50500,-10.72200,0.40200,-10.97000,0.59800,-11.01900,0.56900,-10.55200,0.40300,-10.42900,0.46900,-9.89600,0.65600,-9.42200,0.46700,-9.30000,0.43700,-9.16200,0.52100,-9.12300,0.39000,-9.28800,0.59300,-9.13700,0.65100,-8.89500,0.56200,-8.82400,0.57200,-8.24700,0.50600,-8.22900,0.38000,-7.92300,0.61400,-7.94700,0.55000,-7.66500,0.52900,0,0.01130,3.04700,0.75110,25311304,7.99000,3.12000
35.02500,113.72500,Zhengzhou,1,0.00010,3538.00000,0.00060,10105.00000,0.00260,20006.00000,0.01920,29176.00000,-8.91800,0.38300,-9.08300,0.40600,-9.11000,0.43500,-9.42600,0.36500,-9.85700,0.34500,-9.27600,0.56300,-9.57000,0.20300,-8.95100,0.29500,-11.97400,0.34500,-11.59100,0.40300,-11.69900,0.36700,-11.55700,0.37200,-10.79500,0.43700,-10.93400,0.47300,-10.75400,0.42900,-11.02200,0.60400,-11.03300,0.57400,-10.55000,0.38100,-10.41000,0.46800,-9.90900,0.67900,-9.44800,0.46700,-9.29000,0.44400,-9.17200,0.52200,-9.14300,0.40000,-9.28600,0.60700,-9.14700,0.65100,-8.94400,0.55100,-8.88200,0.56400,-8.26700,0.51500,-8.23200,0.41600,-7.92200,0.65600,-7.97600,0.53700,-7.68500,0.53200,0,0.01970,4.96360,1.17210,25311304,6.60000,2.83000
35.02500,113.77500,Zhengzhou,1,0.00050,14439.00000,0.00190,19750.00000,0.00300,19902.00000,0.01540,17170.00000,-8.94500,0.38400,-9.11600,0.38400,-9.13000,0.46600,-9.49900,0.36200,-9.84700,0.35300,-9.27900,0.58400,-9.60700,0.21400,-8.99600,0.28600,-12.04800,0.35000,-11.61900,0.40900,-11.76100,0.36800,-11.59600,0.38300,-10.84500,0.43500,-10.94400,0.44400,-10.76700,0.43600,-11.05100,0.62200,-11.04700,0.57200,-10.54000,0.38400,-10.41000,0.47200,-9.86200,0.67500,-9.43000,0.45600,-9.24100,0.45400,-9.14900,0.50100,-9.14200,0.41000,-9.26800,0.61100,-9.13900,0.68000,-8.96700,0.54900,-8.90400,0.56400,-8.28200,0.52500,-8.26400,0.46600,-7.93400,0.68600,-8.04100,0.52400,-7.71700,0.53500,0,0.02130,5.04720,1.14790,25311304,6.43000,2.58000
35.02500,113.82500,Zhengzhou,0,0.00030,3254.00000,0.00100,0.00000,0.00110,0.00000,0.00410,1919.00000,-8.96300,0.38400,-9.13900,0.36700,-9.14300,0.49200,-9.55300,0.35800,-9.83700,0.36000,-9.28100,0.60000,-9.63600,0.22200,-9.03300,0.28100,-12.05400,0.35600,-11.60400,0.37900,-11.77100,0.36300,-11.59900,0.38100,-10.86400,0.42600,-10.91800,0.41400,-10.76300,0.41900,-11.06800,0.64200,-11.03400,0.59200,-10.54500,0.40400,-10.41200,0.47100,-9.74800,0.65200,-9.39500,0.44600,-9.18700,0.46700,-9.10800,0.47700,-9.10200,0.42300,-9.24200,0.58400,-9.12000,0.71700,-8.93800,0.55600,-8.89900,0.56600,-8.27600,0.53700,-8.29100,0.48200,-7.94900,0.69300,-8.09200,0.52300,-7.74800,0.53500,0,0.01540,4.91800,0.94380,25311304,7.21000,2.69000
35.02500,113.87500,Zhengzhou,0,0.00000,14297.00000,0.00020,9008.00000,0.00030,4382.00000,0.00190,3596.00000,-9.01000,0.38300,-9.16600,0.37000,-9.16800,0.53300,-9.59700,0.34400,-9.80800,0.36400,-9.26300,0.61900,-9.64600,0.24000,-9.09900,0.39000,-12.02200,0.35200,-11.57800,0.33400,-11.75300,0.33400,-11.58300,0.36100,-10.87300,0.41100,-10.88400,0.39600,-10.77600,0.38500,-11.07900,0.64400,-10.98100,0.64200,-10.54400,0.44300,-10.40100,0.48100,-9.63500,0.63000,-9.35100,0.43500,-9.13000,0.47800,-9.04300,0.44500,-9.02700,0.44200,-9.15100,0.52600,-9.06800,0.72900,-8.85500,0.57500,-8.86900,0.57100,-8.24900,0.55200,-8.29700,0.47500,-7.94700,0.69500,-8.13600,0.53900,-7.80900,0.54700,0,0.01800,5.74230,1.18600,25311304,9.40000,3.01000
