latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
22.52500,113.32500,Zhuhai,3,0.10030,45088.00000,0.28920,85531.00000,0.40850,115382.00000,0.47080,147185.00000,-9.01000,0.19300,-8.40700,0.19400,-8.42300,0.48600,-8.99400,1.83200,-8.21500,0.39600,-8.46500,0.58800,-8.12900,0.34300,-8.53100,0.19600,-9.33800,0.48500,-9.38100,0.61200,-8.60100,0.76700,-8.30900,0.79200,-8.58600,0.62400,-8.24900,0.69900,-7.84600,0.64900,-7.86600,0.65500,-7.80400,0.59500,-7.66800,0.53200,-7.71500,0.56900,-6.61900,0.49700,-6.37700,0.62900,-6.18800,0.50600,-5.88500,0.59200,-5.98000,0.63800,-5.68000,0.58300,-5.14300,0.55700,-5.24300,0.27900,-5.12800,0.46700,-4.57200,0.64600,-4.30200,0.61100,-3.99200,0.75200,-4.03200,0.50500,-4.00900,0.56000,0,0.14270,12.95560,22.51490,28481040,8.22000,3.41000
22.52500,113.37500,Zhuhai,3,0.14050,174146.00000,0.35870,272963.00000,0.50480,288964.00000,0.56990,325757.00000,-9.18300,0.23200,-8.63800,0.21200,-8.62000,0.49500,-9.20500,1.88900,-8.46400,0.40200,-8.69600,0.65400,-8.28300,0.41400,-8.72900,0.19000,-9.24100,0.41300,-9.21800,0.54100,-8.52700,0.67400,-8.22800,0.68300,-8.46800,0.59100,-8.16700,0.65300,-7.86400,0.58200,-7.86800,0.59300,-7.82200,0.57300,-7.72100,0.52500,-7.76100,0.61200,-6.53100,0.47000,-6.34700,0.59400,-6.15200,0.47500,-5.89900,0.56500,-6.01400,0.61700,-5.75500,0.56900,-5.23600,0.55800,-5.32600,0.30000,-5.24300,0.46000,-4.64700,0.64300,-4.40500,0.58400,-4.10500,0.71900,-4.16100,0.48500,-4.14500,0.56100,0,0.23250,24.92030,51.03320,28481040,7.68000,3.30000
22.52500,113.42500,Zhuhai,3,0.02790,71099.00000,0.16950,118744.00000,0.33870,183724.00000,0.39270,223016.00000,-9.34500,0.26600,-8.86100,0.22800,-8.82800,0.49500,-9.42100,1.86900,-8.67200,0.41700,-8.87700,0.66400,-8.44700,0.43900,-8.91400,0.21300,-9.36800,0.36200,-9.30100,0.48600,-8.72000,0.60000,-8.43400,0.57900,-8.65700,0.55800,-8.39500,0.62600,-8.22500,0.53500,-8.19400,0.55000,-8.14700,0.55900,-8.09700,0.52800,-8.08100,0.62900,-6.60000,0.44200,-6.49400,0.55700,-6.32000,0.45300,-6.15800,0.54200,-6.31700,0.58800,-6.12300,0.57800,-5.63100,0.56200,-5.68900,0.39200,-5.61400,0.44300,-4.96600,0.62400,-4.79400,0.57200,-4.50400,0.71900,-4.55600,0.46100,-4.53900,0.58700,0,0.14350,16.47510,26.11260,28481040,10.58000,4.50000
22.52500,113.47500,Zhuhai,2,0.01740,52495.00000,0.06880,79118.00000,0.15990,93308.00000,0.22890,104168.00000,-9.55200,0.30800,-9.14800,0.24900,-9.09500,0.49500,-9.71000,1.85900,-8.94000,0.43900,-9.11500,0.67800,-8.66200,0.46900,-9.15300,0.24500,-9.79400,0.32700,-9.69800,0.42900,-9.22100,0.54700,-8.97700,0.50100,-9.19100,0.52600,-8.95300,0.59100,-8.91700,0.50700,-8.86400,0.51700,-8.79600,0.53700,-8.79700,0.52000,-8.64800,0.58700,-6.83000,0.44700,-6.78600,0.53200,-6.63700,0.43800,-6.54200,0.53000,-6.73900,0.56300,-6.62700,0.57300,-6.12400,0.55800,-6.14600,0.46600,-6.04000,0.42200,-5.40300,0.58200,-5.33800,0.53600,-5.06800,0.67000,-5.04300,0.43600,-5.00700,0.62000,0,0.11760,13.72590,20.85540,28481040,15.47000,5.74000
22.52500,113.52500,Zhuhai,2,0.01630,12527.00000,0.04320,14257.00000,0.07250,16700.00000,0.13360,25672.00000,-9.81500,0.35800,-9.52200,0.28400,-9.41400,0.49300,-10.37600,2.05600,-9.25200,0.46700,-9.38800,0.63500,-8.93200,0.43200,-9.40700,0.31100,-10.61700,0.30100,-10.50400,0.37300,-10.16200,0.50800,-9.93400,0.44700,-10.15300,0.51500,-9.95100,0.57400,-9.98200,0.49200,-9.92100,0.50900,-9.81600,0.50700,-9.79600,0.52900,-9.49200,0.47400,-7.55900,0.42500,-7.42000,0.48700,-7.26000,0.45900,-7.02500,0.47400,-7.29900,0.46800,-7.22900,0.48500,-6.70100,0.54900,-6.66900,0.37500,-6.56200,0.46400,-6.04600,0.58000,-6.02200,0.52000,-5.73900,0.61400,-5.80900,0.54000,-5.72100,0.63300,0,0.04570,8.02850,7.12930,28481040,16.01000,5.99000
22.52500,113.57500,Zhuhai,1,0.00610,7737.00000,0.01890,7661.00000,0.02740,7432.00000,0.05070,9790.00000,-9.95900,0.38500,-9.72600,0.30200,-9.58900,0.49200,-10.74000,2.16600,-9.42200,0.48300,-9.53700,0.61200,-9.08000,0.41200,-9.54700,0.34600,-11.79800,0.32600,-11.66100,0.34600,-11.44100,0.50700,-11.21200,0.42100,-11.43300,0.48000,-11.22300,0.59800,-11.24200,0.52900,-11.19300,0.55700,-11.00800,0.50200,-10.91100,0.56800,-10.43300,0.41400,-9.03100,0.34800,-9.10300,0.49400,-9.00500,0.46000,-8.67000,0.58500,-8.99200,0.55900,-9.24500,0.51700,-8.19700,0.61900,-7.95600,0.48700,-7.87900,0.49700,-7.49800,0.65600,-7.48800,0.64800,-7.30100,0.63600,-7.52000,0.67100,-7.40000,0.82400,0,0.01540,3.00440,2.58240,28481040,14.28000,5.79000
22.52500,113.62500,Zhuhai,0,0.00000,0.00000,0.00000,0.00000,0.00060,5.00000,0.00320,184.00000,-9.95900,0.38500,-9.72600,0.30200,-9.58900,0.49200,-10.74000,2.16600,-9.42200,0.48300,-9.53700,0.61200,-9.08000,0.41200,-9.54700,0.34600,-12.02900,0.33400,-11.88200,0.34500,-11.68400,0.50400,-11.45700,0.41500,-11.68500,0.47000,-11.46400,0.60200,-11.48000,0.54100,-11.43800,0.56800,-11.22900,0.50100,-11.11000,0.57400,-10.57400,0.40300,-9.36000,0.33200,-9.51300,0.50300,-9.43100,0.45600,-9.07800,0.63100,-9.41700,0.60700,-9.75300,0.53600,-8.52800,0.63800,-8.21000,0.54200,-8.13400,0.49700,-7.78800,0.66900,-7.79400,0.67600,-7.60200,0.64900,-7.80300,0.70400,-7.70100,0.88200,100,0.00000,0.00000,0.00000,28481040,3.90000,4.20000
22.52500,113.67500,Zhuhai,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,0.00000,0.00000,0.00000,28481040,-9999.00000,-9999.00000
22.52500,113.72500,Zhuhai,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,0.00000,0.00000,0.00000,28481040,-9999.00000,-9999.00000
22.52500,113.77500,Zhuhai,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,0.00000,0.00000,0.00000,28481040,-9999.00000,-9999.00000
