latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
37.02500,117.77500,Zibo,0,0.00000,1969.00000,0.00010,0.00000,0.00010,0.00000,0.00140,0.00000,-9.08400,0.70700,-8.73800,0.54700,-8.68300,0.47400,-9.38200,0.33600,-9.10600,0.59000,-8.87200,0.48600,-8.95900,0.22600,-9.17100,0.47700,-10.44300,0.67800,-10.31400,0.61400,-9.98900,0.58700,-10.12900,0.61000,-9.65200,0.47300,-9.28800,0.50700,-9.34500,0.53100,-9.58000,0.60700,-9.09600,0.39000,-9.24100,0.47300,-9.26500,0.73700,-8.30500,0.26700,-8.43400,0.38000,-8.70800,0.54900,-8.55600,0.41900,-8.50200,0.34400,-8.44700,0.39100,-8.35300,0.68200,-8.82500,0.40300,-8.71600,0.56200,-8.40400,0.54800,-8.42400,0.64600,-8.17600,0.54600,-7.86800,0.92800,-7.87300,0.59100,0,0.00450,1.62810,0.20110,24687778,6.44000,2.00000
37.02500,117.82500,Zibo,0,0.00070,24071.00000,0.00240,29480.00000,0.00400,23418.00000,0.01190,26399.00000,-9.08500,0.70400,-8.74500,0.54300,-8.68500,0.46800,-9.39200,0.34700,-9.11600,0.59100,-8.87200,0.47900,-8.95700,0.23300,-9.17400,0.47800,-10.45100,0.74000,-10.38600,0.64400,-10.05200,0.59300,-10.19000,0.65300,-9.66200,0.52900,-9.32300,0.53500,-9.34600,0.56200,-9.60500,0.65300,-9.06700,0.43100,-9.17000,0.48400,-9.18400,0.74100,-8.30500,0.28600,-8.39400,0.38900,-8.60900,0.54300,-8.43100,0.39400,-8.31500,0.36100,-8.31800,0.40900,-8.22000,0.67600,-8.62900,0.37100,-8.55600,0.58300,-8.24000,0.52300,-8.24900,0.63600,-7.96800,0.49700,-7.66600,0.95100,-7.61600,0.65700,0,0.01430,3.58640,0.81870,24687778,6.57000,2.08000
37.02500,117.87500,Zibo,1,0.00370,5029.00000,0.01110,5751.00000,0.02880,5934.00000,0.06710,8520.00000,-9.10300,0.69300,-8.82400,0.54800,-8.70100,0.44200,-9.44800,0.35700,-9.13900,0.58300,-8.90900,0.45900,-8.95000,0.28300,-9.22300,0.45400,-10.46000,0.79400,-10.45500,0.65800,-10.10700,0.61400,-10.24600,0.68600,-9.68000,0.59100,-9.35000,0.57300,-9.36200,0.58600,-9.62800,0.67400,-9.04300,0.48300,-9.10300,0.50900,-9.11300,0.72500,-8.32700,0.33200,-8.34400,0.40500,-8.49400,0.52700,-8.33000,0.40000,-8.19600,0.34900,-8.23200,0.45500,-8.12100,0.69500,-8.51700,0.39300,-8.43200,0.60100,-8.12900,0.45700,-8.17200,0.63500,-7.85100,0.52200,-7.55700,0.94900,-7.51100,0.69700,0,0.02920,6.06750,3.02550,24687778,6.00000,2.06000
37.02500,117.92500,Zibo,1,0.00310,17263.00000,0.01430,21053.00000,0.03020,22949.00000,0.03860,21581.00000,-9.10500,0.68800,-8.83400,0.54400,-8.70300,0.43500,-9.45900,0.36600,-9.15400,0.58400,-8.91200,0.45600,-8.95200,0.29100,-9.23200,0.45500,-10.45000,0.82100,-10.49600,0.69400,-10.15000,0.63700,-10.27900,0.71400,-9.67700,0.63600,-9.35200,0.60600,-9.35700,0.61000,-9.65900,0.70600,-9.03400,0.53400,-9.04000,0.54700,-9.04800,0.71300,-8.39200,0.39500,-8.32900,0.42800,-8.44200,0.51400,-8.28400,0.41000,-8.14000,0.35100,-8.19300,0.46700,-8.07600,0.70300,-8.46500,0.40100,-8.37500,0.60900,-8.07900,0.43800,-8.14200,0.63000,-7.79500,0.53900,-7.50100,0.95100,-7.46700,0.70400,0,0.02250,5.76140,1.69340,24687778,6.30000,2.02000
37.02500,117.97500,Zibo,1,0.01890,15863.00000,0.03730,17334.00000,0.03980,18202.00000,0.04120,18326.00000,-9.11800,0.67800,-8.89400,0.54600,-8.73100,0.41000,-9.50000,0.37800,-9.18200,0.57300,-8.95900,0.46300,-8.95300,0.31200,-9.28300,0.45300,-10.42700,0.84300,-10.52100,0.71300,-10.15500,0.68400,-10.29300,0.73200,-9.68200,0.67500,-9.33500,0.63100,-9.35000,0.62400,-9.66900,0.76100,-9.05600,0.56900,-9.00000,0.57300,-9.01000,0.69300,-8.43800,0.43300,-8.34000,0.44400,-8.43600,0.51000,-8.25000,0.42300,-8.09500,0.36600,-8.16900,0.48500,-8.04100,0.70700,-8.43000,0.40200,-8.32800,0.61300,-8.05300,0.44400,-8.10100,0.63100,-7.74800,0.55700,-7.47100,0.96000,-7.44900,0.70200,0,0.02510,5.07250,1.57210,24687778,6.29000,1.99000
37.02500,118.02500,Zibo,1,0.00860,5276.00000,0.02180,6395.00000,0.02450,6616.00000,0.03180,8074.00000,-9.12100,0.67400,-8.90600,0.54300,-8.73800,0.40400,-9.51100,0.38300,-9.19600,0.57300,-8.96700,0.46500,-8.95700,0.31500,-9.29600,0.45600,-10.39600,0.84900,-10.52900,0.71000,-10.14700,0.73000,-10.30200,0.74800,-9.69100,0.69900,-9.33600,0.65800,-9.34700,0.62900,-9.67900,0.79200,-9.09000,0.58800,-8.97000,0.58700,-8.99500,0.68000,-8.46900,0.45900,-8.36700,0.44000,-8.45600,0.50300,-8.26600,0.41600,-8.05700,0.37900,-8.16100,0.50300,-8.00500,0.70900,-8.37000,0.36400,-8.24400,0.60600,-8.02100,0.43400,-8.02600,0.63000,-7.71300,0.55300,-7.44600,0.92500,-7.39700,0.70100,0,0.01590,3.34180,0.96960,24687778,5.84000,1.87000
37.02500,118.07500,Zibo,1,0.00900,3547.00000,0.03470,2820.00000,0.04080,3635.00000,0.04670,5037.00000,-9.12900,0.67600,-8.93900,0.54400,-8.76700,0.40300,-9.52800,0.39300,-9.20500,0.56400,-9.01900,0.49100,-8.95100,0.32800,-9.33100,0.46900,-10.36100,0.83700,-10.51400,0.68900,-10.13100,0.77700,-10.32300,0.75100,-9.73400,0.70500,-9.36800,0.68400,-9.38300,0.63600,-9.69900,0.80500,-9.14700,0.61200,-8.99500,0.59600,-9.02500,0.66000,-8.52700,0.46400,-8.41700,0.43300,-8.57000,0.51700,-8.29700,0.42500,-8.08200,0.40700,-8.17500,0.53900,-7.99100,0.70900,-8.25400,0.40100,-8.06000,0.61200,-7.82900,0.46400,-7.73900,0.63900,-7.55000,0.56100,-7.29100,0.93600,-7.13400,0.77600,0,0.02710,5.64250,2.09890,24687778,6.01000,1.86000
37.02500,118.12500,Zibo,1,0.01060,6942.00000,0.06070,21529.00000,0.07460,20785.00000,0.08110,20726.00000,-9.13100,0.67600,-8.94700,0.54400,-8.77400,0.40300,-9.53200,0.39500,-9.20700,0.56200,-9.03100,0.49700,-8.94900,0.33100,-9.33900,0.47200,-10.32600,0.84500,-10.49600,0.70000,-10.10000,0.81700,-10.33100,0.77300,-9.75700,0.71900,-9.39300,0.71400,-9.41000,0.63500,-9.73000,0.80500,-9.21500,0.65400,-9.02900,0.60000,-9.04700,0.64900,-8.62100,0.45100,-8.47100,0.44600,-8.63800,0.55300,-8.27800,0.44200,-8.07700,0.42900,-8.12900,0.54200,-7.95500,0.70600,-8.16600,0.42100,-7.93300,0.61700,-7.66700,0.41600,-7.52800,0.61500,-7.33000,0.60700,-7.14200,0.92300,-6.91000,0.79500,0,0.02940,5.28710,2.11760,24687778,5.93000,1.88000
37.02500,118.17500,Zibo,1,0.00110,390.00000,0.03320,21015.00000,0.04990,23667.00000,0.06490,24468.00000,-9.12600,0.68300,-8.95600,0.54600,-8.78700,0.43000,-9.57800,0.70700,-9.21500,0.55800,-9.06900,0.52600,-8.95100,0.34300,-9.35200,0.49500,-10.28300,0.86300,-10.49100,0.70900,-10.08000,0.85200,-10.33700,0.78900,-9.81000,0.73800,-9.46900,0.73100,-9.44400,0.62900,-9.79400,0.81900,-9.29400,0.67600,-9.11700,0.61000,-9.13700,0.64900,-8.70300,0.45000,-8.50200,0.44900,-8.67400,0.57000,-8.25500,0.45200,-8.04800,0.44900,-8.07700,0.54100,-7.88900,0.71100,-8.10700,0.42300,-7.85000,0.63800,-7.56900,0.42000,-7.40200,0.60700,-7.17100,0.65800,-6.99000,0.93200,-6.79600,0.76400,0,0.03130,5.77120,2.39740,24687778,5.88000,1.86000
37.02500,118.22500,Zibo,2,0.00420,16139.00000,0.04530,16903.00000,0.08530,20539.00000,0.18040,21392.00000,-9.12400,0.68500,-8.95900,0.54700,-8.79000,0.43700,-9.59000,0.79200,-9.21700,0.55800,-9.07900,0.53500,-8.95100,0.34600,-9.35600,0.50100,-10.24400,0.87100,-10.50000,0.71000,-10.07100,0.86900,-10.35900,0.80200,-9.88900,0.75300,-9.55300,0.74300,-9.50600,0.60700,-9.88900,0.83400,-9.39500,0.69100,-9.23600,0.60100,-9.26500,0.65000,-8.74600,0.45000,-8.51500,0.45000,-8.67000,0.58600,-8.18900,0.45900,-7.88800,0.45800,-7.93600,0.53200,-7.69400,0.74000,-7.89600,0.42800,-7.64800,0.66000,-7.41000,0.45800,-7.20400,0.58800,-6.96100,0.64500,-6.82500,0.94300,-6.66600,0.68100,0,0.05780,7.11180,5.83360,24687778,5.35000,1.72000
