latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
29.67500,104.52500,Zigong,0,0.00000,0.00000,0.00040,1256.00000,0.00040,939.00000,0.00220,1034.00000,-8.20100,0.33600,-8.32600,0.40700,-8.26500,0.15600,-8.64700,0.28500,-8.37700,0.21000,-8.10600,0.25800,-8.09700,0.24500,-8.18500,0.25600,-10.34100,0.42800,-10.44000,0.37500,-10.39500,0.45100,-10.51100,0.32700,-10.36900,0.27900,-10.42400,0.26000,-10.24600,0.33900,-10.63800,0.33400,-10.27800,0.23400,-10.21400,0.27700,-10.33000,0.20500,-8.04400,0.22100,-8.06000,0.25200,-7.93600,0.29000,-7.69900,0.21400,-8.15200,0.26600,-7.52100,0.26400,-7.62200,0.28500,-7.68700,0.24700,-7.79200,0.25800,-7.71000,0.28400,-7.91700,0.25300,-7.65700,0.25300,-7.54200,0.38300,-7.50300,0.26000,0,0.00040,0.13880,0.07790,26824724,30.87000,8.27000
29.67500,104.57500,Zigong,0,0.00000,0.00000,0.00000,1904.00000,0.00020,4762.00000,0.00020,1893.00000,-8.20000,0.33800,-8.32400,0.41500,-8.26400,0.15500,-8.64100,0.28000,-8.37800,0.21400,-8.10300,0.26000,-8.09200,0.24200,-8.18000,0.25700,-10.35400,0.44900,-10.46400,0.40600,-10.42400,0.47600,-10.55000,0.35600,-10.40500,0.29000,-10.51800,0.26900,-10.28700,0.31200,-10.70900,0.34100,-10.32700,0.21900,-10.30100,0.28900,-10.40200,0.20700,-8.08500,0.23300,-8.12700,0.27100,-7.99500,0.30500,-7.79800,0.24200,-8.22500,0.27500,-7.65200,0.25400,-7.77400,0.26800,-7.80800,0.27600,-7.89900,0.27600,-7.85700,0.26100,-8.04200,0.28000,-7.76900,0.24000,-7.64600,0.37100,-7.64100,0.27100,0,0.00060,0.32720,0.02000,26824724,32.14000,8.01000
29.67500,104.62500,Zigong,0,0.00000,25056.00000,0.00010,3027.00000,0.00010,1191.00000,0.00020,181.00000,-8.18000,0.34800,-8.30100,0.46000,-8.24100,0.16000,-8.59000,0.27600,-8.36800,0.22600,-8.07300,0.25300,-8.05900,0.23500,-8.14700,0.26500,-10.34300,0.46200,-10.45600,0.45200,-10.45400,0.50300,-10.55500,0.39300,-10.44600,0.31800,-10.57100,0.28000,-10.31600,0.30200,-10.77400,0.33800,-10.33200,0.24200,-10.38500,0.30700,-10.46200,0.21700,-8.11800,0.26100,-8.19400,0.28400,-8.04500,0.29000,-7.88500,0.25300,-8.29700,0.29900,-7.76200,0.25000,-7.88500,0.28500,-7.92000,0.26400,-8.00200,0.30000,-7.98300,0.25700,-8.15200,0.27500,-7.88300,0.23900,-7.74800,0.35900,-7.71300,0.27700,0,0.00030,0.20180,0.00840,26824724,33.96000,8.15000
29.67500,104.67500,Zigong,0,0.00050,33956.00000,0.00110,24449.00000,0.00110,20622.00000,0.00180,15938.00000,-8.17100,0.35100,-8.29500,0.47000,-8.22800,0.16300,-8.57500,0.28000,-8.36100,0.22700,-8.06100,0.25000,-8.05200,0.23400,-8.13800,0.26700,-10.31700,0.48500,-10.43900,0.47700,-10.46000,0.53900,-10.52000,0.42300,-10.45900,0.35500,-10.59000,0.29200,-10.31300,0.30000,-10.79600,0.34400,-10.31900,0.27600,-10.42300,0.32500,-10.46900,0.25200,-8.12700,0.28700,-8.24400,0.31700,-8.06800,0.29000,-7.92000,0.27300,-8.34000,0.31500,-7.82000,0.26800,-7.93900,0.28100,-7.98200,0.28200,-8.06000,0.34100,-8.03700,0.25500,-8.22900,0.27600,-7.95300,0.22400,-7.82200,0.34000,-7.73300,0.28000,0,0.00150,0.84190,0.08120,26824724,35.23000,8.10000
29.67500,104.72500,Zigong,0,0.00050,4854.00000,0.00110,6422.00000,0.00110,1138.00000,0.00340,8578.00000,-8.14000,0.36100,-8.27400,0.50600,-8.18000,0.17300,-8.51900,0.29700,-8.33500,0.23100,-8.01700,0.23400,-8.02300,0.23100,-8.10400,0.27300,-10.27900,0.49700,-10.39500,0.47600,-10.42200,0.55200,-10.46300,0.43500,-10.43800,0.38400,-10.55500,0.28900,-10.27600,0.29500,-10.79700,0.37600,-10.26400,0.30700,-10.40200,0.32700,-10.42500,0.26700,-8.11300,0.30900,-8.27600,0.35600,-8.07000,0.29900,-7.92800,0.30300,-8.35300,0.34100,-7.82400,0.27800,-7.94900,0.27800,-8.01200,0.31300,-8.07300,0.37000,-8.05700,0.26300,-8.27900,0.28300,-7.99400,0.24500,-7.85900,0.33600,-7.72700,0.28100,0,0.00040,0.28920,0.00590,26824724,33.38000,8.17000
29.67500,104.77500,Zigong,1,0.00100,41883.00000,0.00360,33025.00000,0.00530,29871.00000,0.01160,24708.00000,-8.12300,0.36500,-8.26400,0.52000,-8.15300,0.17700,-8.48900,0.31200,-8.31500,0.23100,-7.99600,0.22800,-8.01000,0.23000,-8.08800,0.27700,-10.23800,0.49200,-10.35200,0.47200,-10.36800,0.54700,-10.37400,0.45100,-10.43100,0.40400,-10.49500,0.29000,-10.23700,0.28800,-10.74900,0.42400,-10.17800,0.35500,-10.35100,0.31300,-10.35000,0.27000,-8.07500,0.32900,-8.26200,0.36800,-8.05200,0.32000,-7.92300,0.33800,-8.34400,0.36800,-7.79100,0.29500,-7.92500,0.28600,-8.02100,0.35600,-8.04400,0.40100,-8.04200,0.28200,-8.28800,0.30300,-8.00200,0.27300,-7.85800,0.33500,-7.70300,0.29200,0,0.00790,3.97300,0.65760,26824724,21.26000,6.66000
29.67500,104.82500,Zigong,1,0.00170,55370.00000,0.00720,61693.00000,0.00880,54763.00000,0.01050,38655.00000,-8.09500,0.37100,-8.24800,0.54300,-8.10700,0.18500,-8.43900,0.33600,-8.28100,0.23200,-7.96100,0.21700,-7.98700,0.23000,-8.06000,0.28300,-10.20100,0.46500,-10.30800,0.45600,-10.31400,0.51700,-10.28700,0.45700,-10.40900,0.41300,-10.43800,0.30100,-10.18300,0.29000,-10.70100,0.48400,-10.07800,0.38500,-10.28100,0.30900,-10.26100,0.27300,-8.02100,0.34300,-8.22500,0.37900,-8.02200,0.34900,-7.89400,0.36700,-8.33000,0.40000,-7.73700,0.31500,-7.87900,0.30300,-8.02200,0.39900,-7.99600,0.42400,-8.00100,0.30500,-8.26900,0.32000,-7.98100,0.28900,-7.83200,0.33700,-7.65900,0.31300,0,0.01070,3.87170,1.05210,26824724,17.89000,6.06000
29.67500,104.87500,Zigong,0,0.00020,6255.00000,0.00030,2335.00000,0.00080,3981.00000,0.00100,4534.00000,-8.06600,0.36500,-8.23600,0.55400,-8.07000,0.18800,-8.40500,0.34800,-8.24900,0.23300,-7.94100,0.20500,-7.97300,0.22700,-8.04000,0.28500,-10.18600,0.43600,-10.27000,0.43500,-10.25300,0.49900,-10.20200,0.43800,-10.37600,0.41300,-10.37200,0.31200,-10.12000,0.29300,-10.63900,0.54200,-9.97500,0.39000,-10.19900,0.31300,-10.18600,0.27900,-7.95500,0.35200,-8.18900,0.38300,-7.98400,0.37300,-7.84800,0.38300,-8.31800,0.42000,-7.67700,0.32900,-7.84400,0.31500,-8.01200,0.43300,-7.93100,0.43300,-7.93300,0.34300,-8.22900,0.33200,-7.92200,0.30400,-7.79000,0.34400,-7.59600,0.32000,0,0.00540,2.56190,0.16810,26824724,20.77000,6.47000
29.67500,104.92500,Zigong,0,0.00300,767.00000,0.00570,4423.00000,0.00800,6100.00000,0.00850,4636.00000,-8.04100,0.36100,-8.22600,0.56400,-8.03800,0.19100,-8.37600,0.35900,-8.22200,0.23300,-7.92300,0.19500,-7.96100,0.22500,-8.02200,0.28800,-10.19300,0.41900,-10.23300,0.42300,-10.19900,0.49700,-10.13900,0.39100,-10.34800,0.41700,-10.32200,0.33100,-10.07100,0.28700,-10.58700,0.57800,-9.87400,0.39300,-10.11800,0.31500,-10.15700,0.28800,-7.89100,0.36000,-8.16100,0.37900,-7.95000,0.38900,-7.79200,0.37300,-8.30100,0.42700,-7.62600,0.32700,-7.82300,0.31800,-7.98100,0.45300,-7.86900,0.42600,-7.87000,0.37600,-8.17500,0.34400,-7.84000,0.32400,-7.74100,0.35100,-7.54300,0.32300,0,0.00710,2.95670,0.43710,26824724,20.75000,6.49000
29.67500,104.97500,Zigong,1,0.01680,68033.00000,0.02900,66226.00000,0.03330,53998.00000,0.03440,43255.00000,-8.00400,0.34800,-8.21500,0.56700,-8.00300,0.19300,-8.34800,0.36100,-8.19100,0.23900,-7.91000,0.18000,-7.95600,0.21900,-8.01000,0.28000,-10.20800,0.40800,-10.20500,0.42400,-10.16900,0.51000,-10.10600,0.35900,-10.32600,0.42900,-10.31800,0.33400,-10.03600,0.28200,-10.55200,0.57300,-9.81000,0.39700,-10.06900,0.30600,-10.15600,0.30000,-7.84500,0.36500,-8.13000,0.37300,-7.93000,0.39200,-7.73000,0.35800,-8.28500,0.42500,-7.58600,0.31400,-7.80200,0.32000,-7.94600,0.47700,-7.81100,0.42400,-7.81100,0.38800,-8.10300,0.34500,-7.76600,0.34700,-7.67400,0.35500,-7.49500,0.33300,0,0.01260,4.19100,0.86620,26824724,17.68000,6.22000
