latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
47.62500,8.32500,Zurich,1,0.10700,8583.00000,0.15360,9081.00000,0.17170,9600.00000,0.18490,9319.00000,-8.90000,0.26200,-8.62500,0.67100,-8.83000,0.22900,-9.01000,0.15700,-8.90100,0.29200,-8.64500,0.32600,-8.85700,0.22000,-8.86700,0.26400,-11.01900,0.34700,-10.98000,0.26600,-10.87200,0.24600,-11.00700,0.29100,-11.09900,0.21000,-10.88600,0.25800,-10.99200,0.22600,-10.80500,0.28800,-10.76100,0.19900,-10.86000,0.30500,-10.75600,0.25900,-8.82100,0.20600,-8.93900,0.23300,-8.76800,0.24600,-8.80000,0.20700,-8.77500,0.23100,-8.76500,0.20200,-8.64900,0.33300,-8.44700,0.27900,-8.95900,0.25500,-8.58200,0.23900,-8.70500,0.26800,-8.73700,0.32000,-8.67400,0.28200,-8.61600,0.27700,0,0.02550,4.30990,1.61640,20892552,34.04000,7.16000
47.62500,8.37500,Zurich,1,0.02670,2483.00000,0.04350,2803.00000,0.04910,2961.00000,0.05470,3049.00000,-8.96600,0.32800,-8.66300,0.54000,-8.84700,0.25800,-8.99000,0.18800,-8.91800,0.37800,-8.66300,0.36000,-8.82500,0.22000,-8.86400,0.27300,-10.76900,0.34100,-10.75700,0.25900,-10.65700,0.25100,-10.79200,0.28100,-10.87000,0.20200,-10.67300,0.25800,-10.76400,0.21200,-10.59000,0.25900,-10.53300,0.19100,-10.62700,0.29600,-10.50300,0.24700,-8.85900,0.17800,-8.95100,0.25500,-8.78500,0.22700,-8.83300,0.19500,-8.81100,0.21500,-8.77500,0.21400,-8.71100,0.32600,-8.51100,0.24300,-9.00100,0.25100,-8.64900,0.22300,-8.73400,0.29400,-8.78300,0.29600,-8.70900,0.30000,-8.66300,0.27800,0,0.01020,2.78020,0.67900,20892552,32.22000,7.14000
47.62500,8.42500,Zurich,1,0.04240,1973.00000,0.06840,2298.00000,0.07390,2382.00000,0.07710,2253.00000,-8.95000,0.33100,-8.65100,0.53500,-8.83000,0.25600,-8.96600,0.18700,-8.89500,0.37500,-8.63800,0.35900,-8.80000,0.22100,-8.83700,0.27300,-10.65100,0.33500,-10.63400,0.25100,-10.54900,0.25800,-10.66200,0.29000,-10.74400,0.19000,-10.55200,0.25100,-10.62500,0.21100,-10.47900,0.24600,-10.40700,0.20400,-10.49900,0.28400,-10.38400,0.24500,-8.85300,0.17400,-8.92900,0.25400,-8.75500,0.20400,-8.81500,0.19300,-8.80200,0.20800,-8.75100,0.21700,-8.72200,0.31000,-8.51700,0.23200,-8.98600,0.26200,-8.65300,0.21200,-8.72000,0.29100,-8.78700,0.27100,-8.70700,0.29600,-8.67500,0.27100,0,0.00970,3.07800,0.63600,20892552,39.54000,7.75000
47.62500,8.47500,Zurich,1,0.01040,1179.00000,0.02360,1364.00000,0.02570,1395.00000,0.02730,1353.00000,-9.00800,0.40700,-8.70300,0.50400,-8.85700,0.26200,-8.99400,0.20000,-8.93600,0.40600,-8.66400,0.37500,-8.82000,0.22500,-8.86600,0.28100,-10.54600,0.32400,-10.53000,0.24700,-10.46200,0.26000,-10.55400,0.29400,-10.63700,0.18300,-10.45400,0.24700,-10.50800,0.21400,-10.38600,0.24200,-10.30600,0.22100,-10.39300,0.27900,-10.28700,0.23800,-8.84000,0.17400,-8.90300,0.24700,-8.72900,0.19600,-8.79200,0.18700,-8.78400,0.20500,-8.72000,0.21400,-8.72700,0.30100,-8.51300,0.22900,-8.96000,0.26700,-8.64600,0.20700,-8.69700,0.28400,-8.77100,0.25800,-8.69000,0.29700,-8.68000,0.26900,0,0.00900,3.78720,0.53680,20892552,34.91000,7.58000
47.62500,8.52500,Zurich,1,0.04130,3647.00000,0.06260,4150.00000,0.06720,4605.00000,0.07040,5393.00000,-9.10100,0.52800,-8.78700,0.45500,-8.90100,0.27200,-9.03800,0.21900,-9.00100,0.45400,-8.70400,0.40000,-8.85200,0.23200,-8.91300,0.29300,-10.44900,0.30500,-10.43400,0.24600,-10.38100,0.25800,-10.45600,0.29500,-10.53700,0.17200,-10.36400,0.24700,-10.40300,0.21900,-10.29500,0.24500,-10.21300,0.24200,-10.28900,0.27800,-10.19600,0.23100,-8.81500,0.17600,-8.86800,0.23600,-8.69900,0.19700,-8.75500,0.17800,-8.74600,0.20600,-8.67000,0.21000,-8.71300,0.29500,-8.48300,0.23000,-8.91400,0.27500,-8.61600,0.20300,-8.65800,0.27200,-8.72500,0.25400,-8.65200,0.30800,-8.67100,0.26700,0,0.01480,3.66150,1.02440,20892552,31.03000,6.87000
47.62500,8.57500,Zurich,1,0.05750,3681.00000,0.08800,3783.00000,0.09740,4076.00000,0.10550,4163.00000,-9.08800,0.53700,-8.78900,0.45600,-8.88300,0.26900,-9.01700,0.22000,-8.98100,0.45300,-8.67800,0.40000,-8.83200,0.23300,-8.88900,0.29300,-10.35600,0.27600,-10.31700,0.24200,-10.30600,0.25000,-10.34400,0.29900,-10.42200,0.18300,-10.27400,0.22200,-10.29200,0.23700,-10.20600,0.25500,-10.11700,0.25200,-10.17200,0.28200,-10.09300,0.22700,-8.78300,0.18600,-8.82500,0.23400,-8.65800,0.19700,-8.71300,0.18400,-8.69700,0.21100,-8.62000,0.21200,-8.69200,0.29000,-8.44500,0.24400,-8.84300,0.27900,-8.57000,0.21100,-8.58700,0.27000,-8.66200,0.28400,-8.59200,0.33500,-8.64100,0.28300,0,0.01880,5.38600,1.09350,20892552,28.16000,7.22000
47.62500,8.62500,Zurich,1,0.04280,2127.00000,0.06970,2133.00000,0.07770,2225.00000,0.08860,2616.00000,-9.20900,0.57900,-9.00900,0.43300,-9.01400,0.24800,-9.12900,0.23900,-9.10100,0.50100,-8.76400,0.43400,-8.94500,0.24300,-9.01600,0.32600,-10.31100,0.30000,-10.25900,0.23300,-10.29100,0.25500,-10.29400,0.31300,-10.37200,0.19500,-10.22700,0.21800,-10.23700,0.23900,-10.16100,0.22900,-10.07900,0.26500,-10.12100,0.28400,-10.02300,0.20500,-8.78000,0.19700,-8.81100,0.23100,-8.64600,0.20000,-8.70200,0.18800,-8.68700,0.20900,-8.61800,0.22000,-8.68700,0.29300,-8.45000,0.25400,-8.83300,0.27400,-8.55300,0.22700,-8.54300,0.28000,-8.64600,0.29600,-8.58200,0.34300,-8.63400,0.28400,0,0.01080,3.62380,0.65400,20892552,36.01000,7.26000
47.62500,8.67500,Zurich,1,0.02250,3682.00000,0.04900,3845.00000,0.05380,4147.00000,0.05940,4945.00000,-9.18700,0.57900,-9.01600,0.44500,-8.99200,0.24300,-9.09900,0.24000,-9.07400,0.50300,-8.72900,0.43500,-8.91900,0.24400,-8.98600,0.32600,-10.33400,0.29800,-10.28400,0.21800,-10.31800,0.26000,-10.32000,0.31500,-10.39100,0.20700,-10.26100,0.20100,-10.24600,0.23700,-10.18800,0.21800,-10.10100,0.25600,-10.14800,0.28200,-10.02600,0.20300,-8.79500,0.20900,-8.81200,0.22600,-8.66700,0.20600,-8.70800,0.19300,-8.69400,0.20800,-8.64000,0.23200,-8.69900,0.29300,-8.46400,0.25900,-8.84400,0.25700,-8.56600,0.22600,-8.53700,0.28000,-8.65500,0.30000,-8.59600,0.33800,-8.64100,0.28600,0,0.01820,5.45670,1.19810,20892552,20.82000,6.10000
47.62500,8.72500,Zurich,1,0.02890,1623.00000,0.05450,1501.00000,0.05680,1551.00000,0.06420,1650.00000,-9.22200,0.51200,-9.13000,0.44600,-9.06200,0.24000,-9.17700,0.25100,-9.15000,0.49900,-8.82400,0.42100,-9.00800,0.24900,-9.06700,0.32300,-10.37100,0.28400,-10.31400,0.21500,-10.35400,0.26500,-10.36100,0.31600,-10.42600,0.20200,-10.29400,0.19100,-10.27000,0.23200,-10.22100,0.21800,-10.13100,0.25000,-10.18300,0.28600,-10.03700,0.20500,-8.82200,0.21500,-8.82900,0.22300,-8.70400,0.20700,-8.72700,0.20100,-8.71500,0.20600,-8.67200,0.23600,-8.72900,0.29400,-8.49300,0.25700,-8.87200,0.24700,-8.60200,0.22500,-8.54500,0.27900,-8.68300,0.30600,-8.62100,0.33500,-8.65600,0.28100,0,0.01080,4.98720,0.64940,20892552,26.78000,6.51000
47.62500,8.77500,Zurich,1,0.02320,3058.00000,0.04690,2884.00000,0.05340,2958.00000,0.06190,3238.00000,-9.26300,0.44600,-9.24600,0.44900,-9.14000,0.24000,-9.26100,0.26300,-9.23800,0.48400,-8.92700,0.41000,-9.10600,0.25400,-9.15700,0.32200,-10.42300,0.27000,-10.35500,0.21300,-10.40100,0.27200,-10.41700,0.31700,-10.47600,0.19400,-10.34100,0.18300,-10.30600,0.22900,-10.26900,0.22400,-10.17700,0.24100,-10.23000,0.29400,-10.06100,0.20800,-8.85400,0.22300,-8.85300,0.22100,-8.74800,0.20700,-8.75200,0.21000,-8.74300,0.20500,-8.70700,0.23700,-8.76300,0.29300,-8.52600,0.25400,-8.90400,0.23900,-8.64300,0.22500,-8.55600,0.27900,-8.71700,0.31700,-8.64800,0.33500,-8.67000,0.27600,0,0.01210,5.04470,0.79380,20892552,20.83000,6.02000
