latitude,longitude,cityname,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water
-2.77500,139.77500,PapuaNewGuinea,-7.06900,0.13600,-9999.00000,-9999.00000,-7.27600,0.37900,-7.09000,0.07200,-7.36800,0.09200,-7.11100,0.08700,-7.17600,0.09200,-7.10000,0.10400,-9999.00000,-9999.00000,-7.71700,0.19200,-7.72700,0.28200,-7.83300,0.22400,-7.76400,0.21600,-7.78900,0.18300,-7.79300,0.19800,-7.85600,0.28700,-7.83400,0.29600,-7.84500,0.21200,-7.86400,0.30900,-6.95700,0.08900,-7.05800,0.10500,-7.01500,0.11100,-6.99200,0.12700,-7.11000,0.10100,-7.06400,0.10200,-6.95600,0.09000,-7.01300,0.09800,-7.15900,0.11900,-7.01700,0.12200,-7.03500,0.11400,-7.03900,0.07100,-6.98900,0.08400,-6.99800,0.11500,0
-2.77500,139.82500,PapuaNewGuinea,-7.08100,0.13500,-9999.00000,-9999.00000,-7.29300,0.40800,-7.08200,0.07300,-7.36500,0.09800,-7.12400,0.10000,-7.16200,0.09200,-7.10800,0.09600,-9999.00000,-9999.00000,-7.69400,0.20700,-7.70000,0.27300,-7.84900,0.24200,-7.73700,0.24500,-7.78200,0.17300,-7.80000,0.20100,-7.84100,0.28400,-7.82100,0.25900,-7.85100,0.18000,-7.87500,0.28900,-6.94200,0.09800,-7.04300,0.11300,-7.00800,0.11600,-6.97200,0.13100,-7.09800,0.11300,-7.05100,0.10000,-6.94000,0.08700,-6.99100,0.10200,-7.14900,0.10600,-6.99800,0.10800,-7.01300,0.11200,-7.02500,0.07100,-6.98600,0.09500,-6.99800,0.10400,0
-2.77500,139.87500,PapuaNewGuinea,-7.09900,0.13100,-9999.00000,-9999.00000,-7.31600,0.45900,-7.07300,0.07900,-7.35800,0.10300,-7.12400,0.11900,-7.14800,0.08500,-7.10300,0.09900,-9999.00000,-9999.00000,-7.66000,0.21500,-7.67500,0.26800,-7.84300,0.23500,-7.71600,0.26200,-7.77300,0.16800,-7.79800,0.22200,-7.82200,0.28400,-7.81700,0.22800,-7.84500,0.16400,-7.87500,0.28800,-6.93700,0.10800,-7.03700,0.11700,-7.00900,0.13000,-6.95600,0.13500,-7.09200,0.12100,-7.04500,0.11100,-6.93900,0.08500,-6.98500,0.10900,-7.14000,0.09800,-6.99800,0.10400,-6.99100,0.11400,-7.00500,0.07100,-6.98700,0.10800,-7.00200,0.10700,0
-2.77500,139.92500,PapuaNewGuinea,-7.11000,0.12900,-9999.00000,-9999.00000,-7.33100,0.49200,-7.06800,0.08300,-7.35300,0.10700,-7.12400,0.13100,-7.14000,0.08100,-7.10000,0.10100,-9999.00000,-9999.00000,-7.63700,0.20700,-7.66200,0.26200,-7.81500,0.21500,-7.69900,0.25300,-7.76400,0.16700,-7.79200,0.23400,-7.81100,0.30300,-7.81600,0.21400,-7.83800,0.17400,-7.86200,0.26200,-6.93600,0.11100,-7.04000,0.11900,-7.01200,0.14200,-6.95700,0.13600,-7.08600,0.12800,-7.03800,0.12600,-6.94600,0.09000,-6.99800,0.11900,-7.13900,0.10400,-7.00400,0.11600,-6.97300,0.11300,-6.97800,0.07500,-6.98500,0.11300,-7.00400,0.11600,0
-2.77500,139.97500,PapuaNewGuinea,-7.15700,0.12300,-9999.00000,-9999.00000,-7.38900,0.62000,-7.05300,0.09300,-7.33200,0.11500,-7.11000,0.15300,-7.10900,0.06500,-7.07400,0.09800,-9999.00000,-9999.00000,-7.63200,0.19700,-7.65100,0.26600,-7.76900,0.18700,-7.70900,0.24000,-7.76500,0.17200,-7.79500,0.22400,-7.80000,0.30000,-7.81700,0.21900,-7.81600,0.19600,-7.82200,0.21700,-6.93800,0.10800,-7.04200,0.12800,-7.02000,0.14600,-6.97600,0.13500,-7.08300,0.13300,-7.03200,0.12800,-6.96100,0.10000,-7.01700,0.12600,-7.15100,0.11800,-7.02200,0.13100,-6.95800,0.11900,-6.95900,0.08200,-6.99600,0.12200,-7.00900,0.12900,0
-2.77500,140.02500,PapuaNewGuinea,-7.18200,0.12300,-9999.00000,-9999.00000,-7.41400,0.67700,-7.05500,0.09100,-7.32700,0.11600,-7.10500,0.15200,-7.10400,0.06100,-7.07400,0.08600,-9999.00000,-9999.00000,-7.61800,0.17000,-7.64100,0.25200,-7.75000,0.17600,-7.71900,0.22000,-7.75200,0.18400,-7.79400,0.20200,-7.78900,0.28200,-7.83500,0.24400,-7.80000,0.22200,-7.80100,0.17700,-6.95100,0.10600,-7.05200,0.14600,-7.03000,0.14300,-6.98800,0.13600,-7.08900,0.12900,-7.04300,0.12500,-6.97700,0.10900,-7.03600,0.12100,-7.18200,0.14200,-7.04100,0.12600,-6.97200,0.12500,-6.96200,0.09000,-7.00900,0.12600,-7.01900,0.13800,0
-2.77500,140.07500,PapuaNewGuinea,-7.22100,0.12300,-9999.00000,-9999.00000,-7.45200,0.76300,-7.05800,0.08800,-7.31800,0.11700,-7.09800,0.15100,-7.09500,0.05600,-7.07300,0.06800,-9999.00000,-9999.00000,-7.61200,0.15500,-7.64300,0.23000,-7.74300,0.17900,-7.71100,0.20600,-7.72900,0.19800,-7.78800,0.18100,-7.78000,0.26000,-7.84600,0.25100,-7.76900,0.22900,-7.78300,0.17200,-6.97000,0.10600,-7.07300,0.15600,-7.03600,0.14600,-6.99800,0.14200,-7.09500,0.13000,-7.05800,0.12500,-6.99400,0.10700,-7.05700,0.11700,-7.19700,0.14900,-7.05800,0.11800,-6.99300,0.12900,-6.97200,0.09200,-7.00900,0.13200,-7.02300,0.14100,0
-2.77500,140.12500,PapuaNewGuinea,-7.27200,0.11500,-9999.00000,-9999.00000,-7.51000,0.87700,-7.08000,0.08200,-7.31500,0.11800,-7.09800,0.12400,-7.11500,0.04700,-7.09200,0.05300,-9999.00000,-9999.00000,-7.60000,0.14700,-7.63400,0.21500,-7.74200,0.20000,-7.68400,0.18800,-7.68800,0.20000,-7.78100,0.15200,-7.77400,0.24200,-7.83400,0.24800,-7.75000,0.21300,-7.77200,0.19300,-6.97500,0.10900,-7.07800,0.13400,-7.04300,0.15100,-7.00000,0.14000,-7.09900,0.12600,-7.07300,0.12700,-6.99800,0.10200,-7.07600,0.11900,-7.20000,0.14900,-7.07100,0.11700,-7.01000,0.12200,-6.98200,0.09300,-7.00400,0.12200,-7.02000,0.14600,0
-2.77500,140.17500,PapuaNewGuinea,-7.29300,0.11200,-9999.00000,-9999.00000,-7.53800,0.92500,-7.09400,0.08100,-7.31800,0.11900,-7.10000,0.11000,-7.12900,0.04500,-7.10600,0.05500,-9999.00000,-9999.00000,-7.60300,0.15200,-7.64800,0.19400,-7.74100,0.21500,-7.65100,0.17700,-7.62900,0.19200,-7.76700,0.14800,-7.77200,0.24500,-7.80400,0.26800,-7.76400,0.18300,-7.74600,0.22400,-6.96700,0.11300,-7.07700,0.11000,-7.04600,0.15200,-6.99300,0.12600,-7.10400,0.11300,-7.08100,0.12100,-6.98600,0.10300,-7.08000,0.12600,-7.18200,0.13500,-7.07800,0.11500,-7.01200,0.10800,-6.99300,0.09700,-6.98900,0.11300,-7.00600,0.14700,0
-2.77500,140.22500,PapuaNewGuinea,-7.33300,0.10300,-9999.00000,-9999.00000,-7.60000,1.01000,-7.13300,0.08300,-7.34000,0.12100,-7.11400,0.07900,-7.17300,0.04500,-7.14700,0.08300,-9999.00000,-9999.00000,-7.62000,0.18200,-7.65900,0.20100,-7.74400,0.22000,-7.61700,0.16700,-7.59400,0.18100,-7.76800,0.17400,-7.77700,0.25300,-7.78700,0.25100,-7.77500,0.17300,-7.75100,0.23200,-6.95100,0.11900,-7.08200,0.11000,-7.03700,0.15400,-6.98900,0.11500,-7.11800,0.10500,-7.07700,0.11700,-6.96000,0.10700,-7.07300,0.12500,-7.14600,0.12200,-7.08000,0.11700,-7.01200,0.10300,-6.99200,0.10400,-6.97100,0.09700,-6.98800,0.14200,0
